"Item","Country","Element","Unit","Y2009","Y2010","Y2011","Average","Data.type","Region","Region_nice","Region_code","Region_macronew","Region_macro1","Region_macro1_nice","Region_macro2","Region_macro2_nice","Region_macro3","Region_macro3_nice","food_group","Region_crops"
"Beverages, alcoholic","Gambia","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Africa_West","West Africa","WAF","Africa","Africa_West","West Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Western_south","SW Europe","WEU-S","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","South Africa","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Jordan","Food supply (kcal/capita/day)","kcal/capita/day",2,0,0,0.666666667,"Food supplies (2009-2011 mean) ","Asia_West","West Asia","WAS","W Asia and SE Mediterranean","Asia_West","West Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Costa Rica","Food supply quantity (g/capita/day)","g/capita/day",21,22,22,21.66666667,"Food supplies (2009-2011 mean) ","America_Central_and_Mexico","Central America","CAM","Latin America","America_Central_and_Mexico","Central America and Mexico","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Dominican Republic","Food supply quantity (g/capita/day)","g/capita/day",10,11,10,10.33333333,"Food supplies (2009-2011 mean) ","America_Caribbean","Caribbean","CAR","Latin America","America_Caribbean","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Senegal","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Africa_West","West Africa","WAF","Africa","Africa_West","West Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Norway","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","China, Macao SAR","Food supply quantity (g/capita/day)","g/capita/day",9,9,11,9.666666667,"Food supplies (2009-2011 mean) ","Asia_East","East Asia","EAS","East Asia","Asia_East","East Asia","Asia and the Pacific","Asia and the Pacific","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Mozambique","Food supply (kcal/capita/day)","kcal/capita/day",5,2,1,2.666666667,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","United Republic of Tanzania","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Turkey","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Poland","Food supply quantity (g/capita/day)","g/capita/day",13,13,13,13,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Dominica","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","America_Caribbean","Caribbean","CAR","Latin America","America_Caribbean","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","United Republic of Tanzania","Food supply quantity (g/capita/day)","g/capita/day",1,0,1,0.666666667,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Peru","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","America_South_andean","Andes","SAM-A","Latin America","America_South","South America","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","United Republic of Tanzania","Food supply (kcal/capita/day)","kcal/capita/day",3,1,2,2,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Egypt","Food supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Malta","Food supply (kcal/capita/day)","kcal/capita/day",25,22,24,23.66666667,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Jordan","Food supply (kcal/capita/day)","kcal/capita/day",2,0,0,0.666666667,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Switzerland","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Thailand","Food supply quantity (g/capita/day)","g/capita/day",28,28,28,28,"Food supplies (2009-2011 mean) ","Asia_Southeast","Southeast Asia","SEA","Southeast Asia","Asia_Southeast","Southeast Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Croatia","Food supply quantity (g/capita/day)","g/capita/day",7,8,9,8,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Egypt","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Solomon Islands","Food supply (kcal/capita/day)","kcal/capita/day",3,1,0,1.333333333,"Food supplies (2009-2011 mean) ","Pacific_Region_tropical","Trop. Pacific Region","PAC-T","Pacific","Pacific_Region","Pacific","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Venezuela (Bolivarian Republic of)","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","America_South_tropical","Trop. S. America","SAM-Tro","Latin America","America_South","South America","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Cambodia","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Southeast","Southeast Asia","SEA","Southeast Asia","Asia_Southeast","Southeast Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Georgia","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Ireland","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Western_north","NW Europe","WEU-N","Europe","Europe_Western","Western Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Cyprus","Food supply quantity (g/capita/day)","g/capita/day",7,7,7,7,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Congo","Protein supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Africa_Central","Central Africa","CAF","Africa","Africa_Central","Central Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Albania","Food supply quantity (g/capita/day)","g/capita/day",3,3,3,3,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Turkmenistan","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Asia_Central","Central Asia","CAS","Central Asia","Asia_Central","Central Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Poland","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Europe_Eastern_north","NE Europe","EEU-N","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Namibia","Food supply quantity (g/capita/day)","g/capita/day",0,0,1,0.333333333,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Greece","Food supply (kcal/capita/day)","kcal/capita/day",34,30,25,29.66666667,"Food supplies (2009-2011 mean) ","Europe_Eastern_south","SE Europe","EEU-S","Europe","Europe_Eastern","Eastern Europe","Europe","Europe","Developed_country","Developed countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","kcal/capita/day",3,4,7,4.666666667,"Food supplies (2009-2011 mean) ","America_South_tropical","Trop. S. America","SAM-Tro","Latin America","America_South","South America","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Philippines","Food supply (kcal/capita/day)","kcal/capita/day",35,34,34,34.33333333,"Food supplies (2009-2011 mean) ","Asia_Southeast","Southeast Asia","SEA","Southeast Asia","Asia_Southeast","Southeast Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Lesotho","Food supply quantity (g/capita/day)","g/capita/day",2,3,3,2.666666667,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Timor-Leste","Food supply (kcal/capita/day)","kcal/capita/day",0,0,1,0.333333333,"Food supplies (2009-2011 mean) ","Asia_Southeast","Southeast Asia","SEA","Southeast Asia","Asia_Southeast","Southeast Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Lebanon","Fat supply quantity (g/capita/day)","g/capita/day",0,0,0,0,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Lebanon","Food supply (kcal/capita/day)","kcal/capita/day",15,23,35,24.33333333,"Food supplies (2009-2011 mean) ","Asia_West","West Asia","WAS","W Asia and SE Mediterranean","Asia_West","West Asia","Asia and the Pacific","Asia and the Pacific","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Morocco","Food supply (kcal/capita/day)","kcal/capita/day",1,1,1,1,"Food supplies (2009-2011 mean) ","Mediterranean_SouthandEast","SE Mediterranean","SEM","W Asia and SE Mediterranean","Mediterranean_SouthandEast","South and East Mediterranean","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Zambia","Food supply quantity (g/capita/day)","g/capita/day",1,1,1,1,"Food supplies (2009-2011 mean) ","Africa_Southern","Southern Africa","SAF","Africa","Africa_Southern","Southern Africa","Africa","Africa","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
"Beverages, alcoholic","Bolivia (Plurinational State of)","Food supply quantity (g/capita/day)","g/capita/day",1,1,2,1.333333333,"Food supplies (2009-2011 mean) ","America_South_tropical","Trop. S. America","SAM-Tro","Latin America","America_South","South America","Latin America and the Caribbean","Latin America and the Caribbean","Developing_country","Developing countries","Alcoholic beverages","Not_Specified"
