"Y2009","Y2010","Y2011","Country","Element"
1.2,2.2,2.3,"Afghanistan","Fat supply quantity (g/capita/day)"
5.7,5.4,6.2,"Albania","Fat supply quantity (g/capita/day)"
6.5,3.7,7,"Algeria","Fat supply quantity (g/capita/day)"
3,2.9,2.3,"Angola","Fat supply quantity (g/capita/day)"
11.4,11.9,12,"Antigua and Barbuda","Fat supply quantity (g/capita/day)"
0.7,0.6,0.6,"Argentina","Fat supply quantity (g/capita/day)"
9.6,8.6,8,"Armenia","Fat supply quantity (g/capita/day)"
7.4,7.5,8.1,"Australia","Fat supply quantity (g/capita/day)"
16.6,12.1,12.1,"Austria","Fat supply quantity (g/capita/day)"
2.8,3.4,3.3,"Azerbaijan","Fat supply quantity (g/capita/day)"
18.2,17.7,20.7,"Bahamas","Fat supply quantity (g/capita/day)"
0.7,0.7,0.8,"Bangladesh","Fat supply quantity (g/capita/day)"
3,3,3.3,"Barbados","Fat supply quantity (g/capita/day)"
2.6,2.8,3.2,"Belarus","Fat supply quantity (g/capita/day)"
8.9,8.8,11.7,"Belgium","Fat supply quantity (g/capita/day)"
13.2,11.7,14.5,"Belize","Fat supply quantity (g/capita/day)"
5.1,3.6,4.6,"Benin","Fat supply quantity (g/capita/day)"
20.2,19.9,18.5,"Bermuda","Fat supply quantity (g/capita/day)"
2.3,2.4,2.2,"Bolivia (Plurinational State of)","Fat supply quantity (g/capita/day)"
3.3,3.4,3.1,"Bosnia and Herzegovina","Fat supply quantity (g/capita/day)"
3,3.2,4,"Botswana","Fat supply quantity (g/capita/day)"
0.8,0.8,1,"Brazil","Fat supply quantity (g/capita/day)"
9.5,9.5,9.7,"Brunei Darussalam","Fat supply quantity (g/capita/day)"
2.8,3.3,3.3,"Bulgaria","Fat supply quantity (g/capita/day)"
1.2,0.9,0.5,"Burkina Faso","Fat supply quantity (g/capita/day)"
8.1,7.6,8.1,"Cabo Verde","Fat supply quantity (g/capita/day)"
1.7,1.6,1.4,"Cambodia","Fat supply quantity (g/capita/day)"
3.4,3.6,3.2,"Cameroon","Fat supply quantity (g/capita/day)"
4.4,4.6,5,"Canada","Fat supply quantity (g/capita/day)"
6.9,6.2,5.5,"Central African Republic","Fat supply quantity (g/capita/day)"
3.1,2.3,2.4,"Chad","Fat supply quantity (g/capita/day)"
1.9,2.3,1.7,"Chile","Fat supply quantity (g/capita/day)"
15.1,16.7,13.2,"China, Hong Kong SAR","Fat supply quantity (g/capita/day)"
5.6,5.8,6.7,"China, Macao SAR","Fat supply quantity (g/capita/day)"
2.8,3.1,3.4,"China, mainland","Fat supply quantity (g/capita/day)"
3.5,3.9,3.7,"China, Taiwan Province of","Fat supply quantity (g/capita/day)"
1.6,1.7,1.7,"Colombia","Fat supply quantity (g/capita/day)"
3.1,3.4,3.9,"Congo","Fat supply quantity (g/capita/day)"
2.4,2.5,2.7,"Costa Rica","Fat supply quantity (g/capita/day)"
3.1,3.8,4.1,"Côte d'Ivoire","Fat supply quantity (g/capita/day)"
5.1,5.4,4.3,"Croatia","Fat supply quantity (g/capita/day)"
1,0.9,1.4,"Cuba","Fat supply quantity (g/capita/day)"
8.5,8.9,8.1,"Cyprus","Fat supply quantity (g/capita/day)"
2.3,2.3,2.2,"Czech Republic","Fat supply quantity (g/capita/day)"
1.4,1.5,1.1,"Democratic People's Republic of Korea","Fat supply quantity (g/capita/day)"
6.1,6.8,6.8,"Denmark","Fat supply quantity (g/capita/day)"
10,6,8.4,"Djibouti","Fat supply quantity (g/capita/day)"
7.4,8.1,7.4,"Dominica","Fat supply quantity (g/capita/day)"
3.2,4.2,4.2,"Dominican Republic","Fat supply quantity (g/capita/day)"
0.9,0.9,0.9,"Ecuador","Fat supply quantity (g/capita/day)"
2.1,1.7,2,"Egypt","Fat supply quantity (g/capita/day)"
4.1,3.1,4.1,"El Salvador","Fat supply quantity (g/capita/day)"
15.1,14.6,12.1,"Estonia","Fat supply quantity (g/capita/day)"
3,2.7,3.7,"Ethiopia","Fat supply quantity (g/capita/day)"
4.3,3.7,4.9,"Fiji","Fat supply quantity (g/capita/day)"
3.5,3.6,3.8,"Finland","Fat supply quantity (g/capita/day)"
10,8.1,8.1,"France","Fat supply quantity (g/capita/day)"
7.1,6.3,6.9,"French Polynesia","Fat supply quantity (g/capita/day)"
3.2,5.4,6.1,"Gabon","Fat supply quantity (g/capita/day)"
6.7,9.9,9.4,"Gambia","Fat supply quantity (g/capita/day)"
8.4,8.1,7.3,"Georgia","Fat supply quantity (g/capita/day)"
6.2,6.9,6.7,"Germany","Fat supply quantity (g/capita/day)"
4.8,4.1,1.6,"Ghana","Fat supply quantity (g/capita/day)"
6.5,6,6.2,"Greece","Fat supply quantity (g/capita/day)"
25.2,21.5,13.4,"Grenada","Fat supply quantity (g/capita/day)"
3.3,3.3,3.1,"Guatemala","Fat supply quantity (g/capita/day)"
2.8,3,2.9,"Guinea","Fat supply quantity (g/capita/day)"
4.8,3.8,5.2,"Guinea-Bissau","Fat supply quantity (g/capita/day)"
2,2,2.4,"Guyana","Fat supply quantity (g/capita/day)"
3.5,4.5,7.3,"Haiti","Fat supply quantity (g/capita/day)"
0.9,0.8,1,"Honduras","Fat supply quantity (g/capita/day)"
1.5,1.2,1.1,"Hungary","Fat supply quantity (g/capita/day)"
3.5,3.4,4.4,"Iceland","Fat supply quantity (g/capita/day)"
1.7,1.6,1.8,"India","Fat supply quantity (g/capita/day)"
1.6,1.4,1.5,"Indonesia","Fat supply quantity (g/capita/day)"
12,10.6,10.4,"Iran (Islamic Republic of)","Fat supply quantity (g/capita/day)"
0.6,0.4,0.5,"Iraq","Fat supply quantity (g/capita/day)"
2.1,2.5,2.3,"Ireland","Fat supply quantity (g/capita/day)"
11.2,10.5,10.9,"Israel","Fat supply quantity (g/capita/day)"
5.3,5.1,5.6,"Italy","Fat supply quantity (g/capita/day)"
11.6,1.4,1.1,"Jamaica","Fat supply quantity (g/capita/day)"
2,2.2,2.3,"Japan","Fat supply quantity (g/capita/day)"
1.8,2.1,2.4,"Jordan","Fat supply quantity (g/capita/day)"
3,3,4,"Kazakhstan","Fat supply quantity (g/capita/day)"
3.5,3.2,3.5,"Kenya","Fat supply quantity (g/capita/day)"
2.7,2.8,2.5,"Kiribati","Fat supply quantity (g/capita/day)"
4,3.4,4.7,"Kuwait","Fat supply quantity (g/capita/day)"
5.1,3.9,4.1,"Kyrgyzstan","Fat supply quantity (g/capita/day)"
1.7,1.8,1.6,"Lao People's Democratic Republic","Fat supply quantity (g/capita/day)"
3.6,4.2,4.3,"Latvia","Fat supply quantity (g/capita/day)"
14.3,11.9,10.5,"Lebanon","Fat supply quantity (g/capita/day)"
3.4,3.4,3.4,"Lesotho","Fat supply quantity (g/capita/day)"
3.1,3.6,3.2,"Liberia","Fat supply quantity (g/capita/day)"
6.1,7.8,7.6,"Libya","Fat supply quantity (g/capita/day)"
3.1,3.5,3.3,"Lithuania","Fat supply quantity (g/capita/day)"
7.6,12.4,12.1,"Luxembourg","Fat supply quantity (g/capita/day)"
1.2,1.7,1.9,"Madagascar","Fat supply quantity (g/capita/day)"
1.6,0.9,0.8,"Malawi","Fat supply quantity (g/capita/day)"
4.1,4.4,4.6,"Malaysia","Fat supply quantity (g/capita/day)"
8.2,7.7,8.7,"Maldives","Fat supply quantity (g/capita/day)"
8.6,7.7,7.4,"Mali","Fat supply quantity (g/capita/day)"
14.6,13.3,13.8,"Malta","Fat supply quantity (g/capita/day)"
2.5,1.2,1.2,"Mauritania","Fat supply quantity (g/capita/day)"
1.7,4.5,5.2,"Mauritius","Fat supply quantity (g/capita/day)"
2.9,2.7,3,"Mexico","Fat supply quantity (g/capita/day)"
4.4,5.7,6,"Mongolia","Fat supply quantity (g/capita/day)"
9.3,10.1,9.5,"Montenegro","Fat supply quantity (g/capita/day)"
5.4,4.8,4.1,"Morocco","Fat supply quantity (g/capita/day)"
1.8,2.9,2.3,"Mozambique","Fat supply quantity (g/capita/day)"
1.1,1.1,1.1,"Myanmar","Fat supply quantity (g/capita/day)"
4.7,5,4.8,"Namibia","Fat supply quantity (g/capita/day)"
7.2,7.8,8.6,"Nepal","Fat supply quantity (g/capita/day)"
6.6,2.8,3.4,"Netherlands","Fat supply quantity (g/capita/day)"
11.9,12.3,12,"New Caledonia","Fat supply quantity (g/capita/day)"
3.9,4.4,3.9,"New Zealand","Fat supply quantity (g/capita/day)"
2.1,2.1,2.9,"Nicaragua","Fat supply quantity (g/capita/day)"
1.1,2.3,2,"Niger","Fat supply quantity (g/capita/day)"
7.4,8.2,7.8,"Nigeria","Fat supply quantity (g/capita/day)"
5.3,5.8,6.2,"Norway","Fat supply quantity (g/capita/day)"
9.4,8,8,"Occupied Palestinian Territory","Fat supply quantity (g/capita/day)"
2.1,2.2,1.1,"Pakistan","Fat supply quantity (g/capita/day)"
2.8,2.4,3.2,"Panama","Fat supply quantity (g/capita/day)"
1.9,1.8,1.9,"Paraguay","Fat supply quantity (g/capita/day)"
1.9,2.1,2.4,"Peru","Fat supply quantity (g/capita/day)"
1.5,1.6,1.8,"Philippines","Fat supply quantity (g/capita/day)"
2.6,2.3,2.4,"Poland","Fat supply quantity (g/capita/day)"
3.7,3.2,3.7,"Portugal","Fat supply quantity (g/capita/day)"
6.6,6.2,6.6,"Republic of Korea","Fat supply quantity (g/capita/day)"
2,2.2,2.5,"Republic of Moldova","Fat supply quantity (g/capita/day)"
2.1,2.1,2.3,"Romania","Fat supply quantity (g/capita/day)"
1.4,1.5,1.8,"Russian Federation","Fat supply quantity (g/capita/day)"
7.3,6,5.7,"Rwanda","Fat supply quantity (g/capita/day)"
11.6,10.8,10.7,"Saint Kitts and Nevis","Fat supply quantity (g/capita/day)"
3.1,2.3,1.8,"Saint Lucia","Fat supply quantity (g/capita/day)"
12.5,10.5,11.9,"Saint Vincent and the Grenadines","Fat supply quantity (g/capita/day)"
4.8,3.9,3.4,"Samoa","Fat supply quantity (g/capita/day)"
7.9,4.4,5.5,"Sao Tome and Principe","Fat supply quantity (g/capita/day)"
6.3,8.9,9.5,"Saudi Arabia","Fat supply quantity (g/capita/day)"
2.6,2.4,2.7,"Senegal","Fat supply quantity (g/capita/day)"
4,3.4,4,"Serbia","Fat supply quantity (g/capita/day)"
2.1,2.1,2,"Sierra Leone","Fat supply quantity (g/capita/day)"
2.3,2.3,2.6,"Slovakia","Fat supply quantity (g/capita/day)"
3.9,3.8,4.1,"Slovenia","Fat supply quantity (g/capita/day)"
2.4,1.9,3.6,"Solomon Islands","Fat supply quantity (g/capita/day)"
0.8,0.3,0.3,"Somalia","Fat supply quantity (g/capita/day)"
1.1,1,1,"South Africa","Fat supply quantity (g/capita/day)"
5,4.4,4.3,"Spain","Fat supply quantity (g/capita/day)"
0.9,1,1,"Sri Lanka","Fat supply quantity (g/capita/day)"
3.8,3.3,3.9,"Sudan (former)","Fat supply quantity (g/capita/day)"
1.1,2,1.6,"Suriname","Fat supply quantity (g/capita/day)"
4.9,4.8,4.8,"Swaziland","Fat supply quantity (g/capita/day)"
8.3,8.2,6.4,"Sweden","Fat supply quantity (g/capita/day)"
11.8,11.9,12.3,"Switzerland","Fat supply quantity (g/capita/day)"
8.5,7.9,8.8,"Syrian Arab Republic","Fat supply quantity (g/capita/day)"
3.4,3.7,3.9,"Tajikistan","Fat supply quantity (g/capita/day)"
1.8,2,1.8,"Thailand","Fat supply quantity (g/capita/day)"
4.3,4.2,4.4,"The former Yugoslav Republic of Macedonia","Fat supply quantity (g/capita/day)"
1.7,1.6,1.9,"Timor-Leste","Fat supply quantity (g/capita/day)"
3.3,4,3.8,"Togo","Fat supply quantity (g/capita/day)"
2.2,2.2,2.8,"Trinidad and Tobago","Fat supply quantity (g/capita/day)"
6.5,6,6.9,"Tunisia","Fat supply quantity (g/capita/day)"
7,7.6,7.2,"Turkey","Fat supply quantity (g/capita/day)"
5.7,6.3,5.8,"Turkmenistan","Fat supply quantity (g/capita/day)"
1.9,1.5,1.5,"Uganda","Fat supply quantity (g/capita/day)"
1.9,2.1,2.3,"Ukraine","Fat supply quantity (g/capita/day)"
9.4,11.6,15.1,"United Arab Emirates","Fat supply quantity (g/capita/day)"
3.2,3.7,3.9,"United Kingdom","Fat supply quantity (g/capita/day)"
2,2,2.4,"United Republic of Tanzania","Fat supply quantity (g/capita/day)"
3.8,4.3,2.3,"United States of America","Fat supply quantity (g/capita/day)"
4.9,4.7,5.7,"Uruguay","Fat supply quantity (g/capita/day)"
1.9,1.9,1.9,"Uzbekistan","Fat supply quantity (g/capita/day)"
4.5,4.1,4.3,"Vanuatu","Fat supply quantity (g/capita/day)"
1,1.1,1,"Venezuela (Bolivarian Republic of)","Fat supply quantity (g/capita/day)"
