"Country","Region_crops","Average","Percentage","Element"
"Afghanistan","Asia_West",6.43,0.133930431160175,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_Central_and_Mexico",5.87,0.122266194542804,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_Central",5.67,0.118100395750885,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_West",5.67,0.118100395750885,"Fat supply quantity (g/capita/day)"
"Afghanistan","Mediterranean_SouthandEast",5.67,0.118100395750885,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_tropical",5.57,0.116017496354926,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_Central",5,0.104144969797959,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_East",1.67,0.0347844199125182,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_East",1.6,0.0333263903353468,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_South",1.53,0.0318683607581754,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_North",1.37,0.0285357217246407,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_Southern",0.5,0.0104144969797959,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Eastern_south",0.4,0.0083315975838367,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Western_south",0.4,0.0083315975838367,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_Caribbean",0.33,0.00687356800666528,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_Southeast",0.3,0.00624869818787753,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_andean",0.03,0.000624869818787753,"Fat supply quantity (g/capita/day)"
"Afghanistan","Pacific_Region_tropical",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Western_north",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Eastern_north",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Asia_West",14.33,0.190103475723003,"Fat supply quantity (g/capita/day)"
"Albania","Mediterranean_SouthandEast",14.27,0.189307508622977,"Fat supply quantity (g/capita/day)"
"Albania","America_North",11.4,0.151233749005041,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Eastern_south",8.03,0.106526930220218,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Western_south",8.03,0.106526930220218,"Fat supply quantity (g/capita/day)"
"Albania","Africa_East",7.77,0.103077739453436,"Fat supply quantity (g/capita/day)"
"Albania","Asia_Central",6.33,0.0839745290527992,"Fat supply quantity (g/capita/day)"
"Albania","America_Central_and_Mexico",1.7,0.0225524011674184,"Fat supply quantity (g/capita/day)"
"Albania","America_South_tropical",1.03,0.0136641018837888,"Fat supply quantity (g/capita/day)"
"Albania","Asia_East",0.97,0.0128681347837623,"Fat supply quantity (g/capita/day)"
"Albania","America_South_andean",0.6,0.00795967100026532,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Eastern_north",0.2,0.00265322366675511,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Western_north",0.2,0.00265322366675511,"Fat supply quantity (g/capita/day)"
"Albania","Africa_Central",0.13,0.00172459538339082,"Fat supply quantity (g/capita/day)"
"Albania","Africa_West",0.13,0.00172459538339082,"Fat supply quantity (g/capita/day)"
"Albania","Asia_South",0.13,0.00172459538339082,"Fat supply quantity (g/capita/day)"
"Albania","Asia_Southeast",0.13,0.00172459538339082,"Fat supply quantity (g/capita/day)"
"Albania","America_Caribbean",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Africa_Southern",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Pacific_Region_tropical",0,0,"Fat supply quantity (g/capita/day)"
"Albania","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_East",20.17,0.240749582239198,"Fat supply quantity (g/capita/day)"
"Algeria","Mediterranean_SouthandEast",11.6,0.138457865839102,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_West",10.47,0.124970159942707,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_Central",5.73,0.0683934113153497,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Western_south",5.57,0.0664836476486035,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Eastern_south",5.57,0.0664836476486035,"Fat supply quantity (g/capita/day)"
"Algeria","America_North",4.9,0.0584865122941036,"Fat supply quantity (g/capita/day)"
"Algeria","Africa_East",4.53,0.0540701838147529,"Fat supply quantity (g/capita/day)"
"Algeria","America_South_tropical",4.5,0.053712103127238,"Fat supply quantity (g/capita/day)"
"Algeria","America_Central_and_Mexico",4.07,0.0485796132728575,"Fat supply quantity (g/capita/day)"
"Algeria","Africa_West",2.17,0.0259011697302459,"Fat supply quantity (g/capita/day)"
"Algeria","Africa_Central",2.17,0.0259011697302459,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_South",0.87,0.0103843399379327,"Fat supply quantity (g/capita/day)"
"Algeria","America_South_andean",0.43,0.00513248985438052,"Fat supply quantity (g/capita/day)"
"Algeria","Africa_Southern",0.3,0.0035808068751492,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_Southeast",0.23,0.00274528527094772,"Fat supply quantity (g/capita/day)"
"Algeria","Pacific_Region_tropical",0.2,0.0023872045834328,"Fat supply quantity (g/capita/day)"
"Algeria","America_Caribbean",0.1,0.0011936022917164,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Eastern_north",0.1,0.0011936022917164,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Western_north",0.1,0.0011936022917164,"Fat supply quantity (g/capita/day)"
"Algeria","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Angola","America_South_tropical",15.5,0.115482044404709,"Fat supply quantity (g/capita/day)"
"Angola","America_South_tropical",15.5,0.115482044404709,"Fat supply quantity (g/capita/day)"
"Angola","America_Central_and_Mexico",14.9,0.111011771718075,"Fat supply quantity (g/capita/day)"
"Angola","America_Central_and_Mexico",14.9,0.111011771718075,"Fat supply quantity (g/capita/day)"
"Angola","Africa_West",9.67,0.0720458947995828,"Fat supply quantity (g/capita/day)"
"Angola","Africa_West",9.67,0.0720458947995828,"Fat supply quantity (g/capita/day)"
"Angola","Asia_East",9.57,0.0713008493518105,"Fat supply quantity (g/capita/day)"
"Angola","Asia_East",9.57,0.0713008493518105,"Fat supply quantity (g/capita/day)"
"Angola","Africa_Central",9.57,0.0713008493518105,"Fat supply quantity (g/capita/day)"
"Angola","Africa_Central",9.57,0.0713008493518105,"Fat supply quantity (g/capita/day)"
"Angola","Asia_West",1.53,0.0113991953509164,"Fat supply quantity (g/capita/day)"
"Angola","Asia_West",1.53,0.0113991953509164,"Fat supply quantity (g/capita/day)"
"Angola","Mediterranean_SouthandEast",1.37,0.0102071226344807,"Fat supply quantity (g/capita/day)"
"Angola","Mediterranean_SouthandEast",1.37,0.0102071226344807,"Fat supply quantity (g/capita/day)"
"Angola","Asia_Central",0.97,0.00722694084339145,"Fat supply quantity (g/capita/day)"
