"Country","Region_crops","Average","Percentage","Element"
"Afghanistan","Asia_West",6.43,0.371676300578035,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_Central_and_Mexico",5.87,0.339306358381503,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_Central",5.67,0.327745664739884,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_West",5.67,0.327745664739884,"Fat supply quantity (g/capita/day)"
"Afghanistan","Mediterranean_SouthandEast",5.67,0.327745664739884,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_tropical",5.57,0.321965317919075,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_Central",5,0.289017341040462,"Fat supply quantity (g/capita/day)"
"Afghanistan","Not_Specified",1.9,0.109826589595376,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_East",1.67,0.0965317919075144,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_East",1.6,0.092485549132948,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_South",1.53,0.0884393063583815,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_North",1.37,0.0791907514450867,"Fat supply quantity (g/capita/day)"
"Afghanistan","Africa_Southern",0.5,0.0289017341040462,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Eastern_south",0.4,0.023121387283237,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Western_south",0.4,0.023121387283237,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_Caribbean",0.33,0.0190751445086705,"Fat supply quantity (g/capita/day)"
"Afghanistan","Asia_Southeast",0.3,0.0173410404624277,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_andean",0.03,0.00173410404624277,"Fat supply quantity (g/capita/day)"
"Afghanistan","Pacific_Region_tropical",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Western_north",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","Europe_Eastern_north",0,0,"Fat supply quantity (g/capita/day)"
"Afghanistan","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Asia_West",14.33,0.421470588235294,"Fat supply quantity (g/capita/day)"
"Albania","Mediterranean_SouthandEast",14.27,0.419705882352941,"Fat supply quantity (g/capita/day)"
"Albania","America_North",11.4,0.335294117647059,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Eastern_south",8.03,0.236176470588235,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Western_south",8.03,0.236176470588235,"Fat supply quantity (g/capita/day)"
"Albania","Africa_East",7.77,0.228529411764706,"Fat supply quantity (g/capita/day)"
"Albania","Asia_Central",6.33,0.186176470588235,"Fat supply quantity (g/capita/day)"
"Albania","Not_Specified",5.77,0.169705882352941,"Fat supply quantity (g/capita/day)"
"Albania","America_Central_and_Mexico",1.7,0.05,"Fat supply quantity (g/capita/day)"
"Albania","America_South_tropical",1.03,0.0302941176470588,"Fat supply quantity (g/capita/day)"
"Albania","Asia_East",0.97,0.0285294117647059,"Fat supply quantity (g/capita/day)"
"Albania","America_South_andean",0.6,0.0176470588235294,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Eastern_north",0.2,0.00588235294117647,"Fat supply quantity (g/capita/day)"
"Albania","Europe_Western_north",0.2,0.00588235294117647,"Fat supply quantity (g/capita/day)"
"Albania","Africa_Central",0.13,0.00382352941176471,"Fat supply quantity (g/capita/day)"
"Albania","Africa_West",0.13,0.00382352941176471,"Fat supply quantity (g/capita/day)"
"Albania","Asia_South",0.13,0.00382352941176471,"Fat supply quantity (g/capita/day)"
"Albania","Asia_Southeast",0.13,0.00382352941176471,"Fat supply quantity (g/capita/day)"
"Albania","America_Caribbean",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Africa_Southern",0,0,"Fat supply quantity (g/capita/day)"
"Albania","Pacific_Region_tropical",0,0,"Fat supply quantity (g/capita/day)"
"Albania","America_South_temperate",0,0,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_East",20.17,0.413319672131148,"Fat supply quantity (g/capita/day)"
"Algeria","Mediterranean_SouthandEast",11.6,0.237704918032787,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_West",10.47,0.214549180327869,"Fat supply quantity (g/capita/day)"
"Algeria","Asia_Central",5.73,0.117418032786885,"Fat supply quantity (g/capita/day)"
"Algeria","Not_Specified",5.73,0.117418032786885,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Western_south",5.57,0.114139344262295,"Fat supply quantity (g/capita/day)"
"Algeria","Europe_Eastern_south",5.57,0.114139344262295,"Fat supply quantity (g/capita/day)"
"Algeria","America_North",4.9,0.100409836065574,"Fat supply quantity (g/capita/day)"
"Algeria","Africa_East",4.53,0.092827868852459,"Fat supply quantity (g/capita/day)"
"Algeria","America_South_tropical",4.5,0.0922131147540984,"Fat supply quantity (g/capita/day)"
