"Element","Item","Average","R_origin","R_recipients"
"Area harvested","Sorghum",973861.666666666,"Africa_Central","Africa_Central"
"Area harvested","Coffee",247030.666666667,"Africa_Central","Africa_Central"
"Area harvested","Cowpeas",222601.333333333,"Africa_Central","Africa_Central"
"Area harvested","Rice",164997.333333333,"Africa_Central","Africa_Central"
"Area harvested","Palm oil",153058,"Africa_Central","Africa_Central"
"Area harvested","Sorghum",973861.666666666,"Africa_East","Africa_Central"
"Area harvested","Millets",286890,"Africa_East","Africa_Central"
"Area harvested","Coffee",247030.666666667,"Africa_East","Africa_Central"
"Area harvested","Cowpeas",222601.333333333,"Africa_East","Africa_Central"
"Area harvested","Melons",172928.666666667,"Africa_East","Africa_Central"
"Area harvested","NA",NA,"Africa_Indian_Ocean_Islands","Africa_Central"
"Area harvested","Sorghum",973861.666666666,"Africa_Southern","Africa_Central"
"Area harvested","Millets",286890,"Africa_Southern","Africa_Central"
"Area harvested","Cowpeas",222601.333333333,"Africa_Southern","Africa_Central"
"Area harvested","Melons",172928.666666667,"Africa_Southern","Africa_Central"
"Area harvested","Cottonseed oil",163779.666666667,"Africa_Southern","Africa_Central"
"Area harvested","Sorghum",973861.666666666,"Africa_West","Africa_Central"
"Area harvested","Millets",286890,"Africa_West","Africa_Central"
"Area harvested","Coffee",247030.666666667,"Africa_West","Africa_Central"
"Area harvested","Cowpeas",222601.333333333,"Africa_West","Africa_Central"
"Area harvested","Melons",172928.666666667,"Africa_West","Africa_Central"
"Area harvested","Cottonseed oil",163779.666666667,"America_Caribbean","Africa_Central"
"Area harvested","Chillies & peppers",25804,"America_Caribbean","Africa_Central"
"Area harvested","Maize",2523883.33333333,"America_Central_and_Mexico","Africa_Central"
"Area harvested","Cassava",1629019.33333333,"America_Central_and_Mexico","Africa_Central"
"Area harvested","Beans",1004444,"America_Central_and_Mexico","Africa_Central"
"Area harvested","Cocoa beans",676554,"America_Central_and_Mexico","Africa_Central"
"Area harvested","Sweet potatoes",209386.333333333,"America_Central_and_Mexico","Africa_Central"
"Area harvested","Pumpkins & gourds",154298,"America_North","Africa_Central"
"Area harvested","Sunflower",15840.3333333333,"America_North","Africa_Central"
"Area harvested","Beans",1004444,"America_South_andean","Africa_Central"
"Area harvested","Potatoes",163484.333333333,"America_South_andean","Africa_Central"
"Area harvested","Tomatoes",114733.666666666,"America_South_andean","Africa_Central"
"Area harvested",NA,NA,"America_South_temperate","Africa_Central"
"Area harvested","Cassava",1629019.33333333,"America_South_tropical","Africa_Central"
"Area harvested","Groundnut",896841.666666667,"America_South_tropical","Africa_Central"
"Area harvested","Cocoa beans",676554,"America_South_tropical","Africa_Central"
"Area harvested","Sweet potatoes",209386.333333333,"America_South_tropical","Africa_Central"
"Area harvested","Cottonseed oil",163779.666666667,"America_South_tropical","Africa_Central"
"Area harvested","Onions",23578,"Asia_Central","Africa_Central"
"Area harvested","Wheat",4472,"Asia_Central","Africa_Central"
"Area harvested","Leeks",455.333333333333,"Asia_Central","Africa_Central"
"Area harvested","Apricots",147.666666666667,"Asia_Central","Africa_Central"
"Area harvested","Spinach",140.333333333333,"Asia_Central","Africa_Central"
"Area harvested","Millets",286890,"Asia_East","Africa_Central"
"Area harvested","Cucumbers",185604.333333333,"Asia_East","Africa_Central"
"Area harvested","Melons",172928.666666667,"Asia_East","Africa_Central"
"Area harvested","Rice",164997.333333333,"Asia_East","Africa_Central"
"Area harvested","Soybean",32477.3333333333,"Asia_East","Africa_Central"
"Area harvested","Bananas & plantains",579670.666666667,"Asia_South","Africa_Central"
"Area harvested","Millets",286890,"Asia_South","Africa_Central"
"Area harvested","Taro",234000,"Asia_South","Africa_Central"
"Area harvested","Sugarcane",191833.333333333,"Asia_South","Africa_Central"
"Area harvested","Cucumbers",185604.333333333,"Asia_South","Africa_Central"
"Area harvested","Bananas & plantains",579670.666666667,"Asia_Southeast","Africa_Central"
"Area harvested","Millets",286890,"Asia_Southeast","Africa_Central"
"Area harvested","Taro",234000,"Asia_Southeast","Africa_Central"
"Area harvested","Sugarcane",191833.333333333,"Asia_Southeast","Africa_Central"
"Area harvested","Cucumbers",185604.333333333,"Asia_Southeast","Africa_Central"
"Area harvested","Melons",172928.666666667,"Asia_West","Africa_Central"
"Area harvested","Sesame",109257,"Asia_West","Africa_Central"
"Area harvested","Onions",23578,"Asia_West","Africa_Central"
"Area harvested","Castor_oil",18011,"Asia_West","Africa_Central"
"Area harvested","Peas",8047.66666666667,"Asia_West","Africa_Central"
"Area harvested","Hazelnuts",117.333333333333,"Europe_Eastern_north","Africa_Central"
"Area harvested","Lettuce",22,"Europe_Eastern_north","Africa_Central"
"Area harvested","Peas",8047.66666666667,"Europe_Eastern_south","Africa_Central"
"Area harvested","Cabbages",3663.66666666667,"Europe_Eastern_south","Africa_Central"
"Area harvested","Leeks",455.333333333333,"Europe_Eastern_south","Africa_Central"
"Area harvested","Hazelnuts",117.333333333333,"Europe_Eastern_south","Africa_Central"
"Area harvested","Chestnut",116.666666666667,"Europe_Eastern_south","Africa_Central"
"Area harvested","Hazelnuts",117.333333333333,"Europe_Western_north","Africa_Central"
"Area harvested","Lettuce",22,"Europe_Western_north","Africa_Central"
"Area harvested","Peas",8047.66666666667,"Europe_Western_south","Africa_Central"
"Area harvested","Cabbages",3663.66666666667,"Europe_Western_south","Africa_Central"
"Area harvested","Leeks",455.333333333333,"Europe_Western_south","Africa_Central"
"Area harvested","Hazelnuts",117.333333333333,"Europe_Western_south","Africa_Central"
"Area harvested","Carrots & turnips",66.3333333333333,"Europe_Western_south","Africa_Central"
"Area harvested","Castor_oil",18011,"Mediterranean_SouthandEast","Africa_Central"
"Area harvested","Peas",8047.66666666667,"Mediterranean_SouthandEast","Africa_Central"
"Area harvested","Wheat",4472,"Mediterranean_SouthandEast","Africa_Central"
"Area harvested","Cabbages",3663.66666666667,"Mediterranean_SouthandEast","Africa_Central"
"Area harvested","Leeks",455.333333333333,"Mediterranean_SouthandEast","Africa_Central"
"Area harvested","NA",NA,"Pacific_Region_ausnz","Africa_Central"
"Area harvested","Taro",234000,"Pacific_Region_tropical","Africa_Central"
"Area harvested","Melons",172928.666666667,"Pacific_Region_tropical","Africa_Central"
"Area harvested","Coconuts",14940.3333333333,"Pacific_Region_tropical","Africa_Central"
"Area harvested","Sorghum",9427831.76,"Africa_Central","Africa_East"
"Area harvested","Coffee",966561.666666666,"Africa_Central","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_Central","Africa_East"
"Area harvested","Rice",168889.333333333,"Africa_Central","Africa_East"
"Area harvested","Sorghum",9427831.76,"Africa_East","Africa_East"
"Area harvested","Millets",2966079.33333333,"Africa_East","Africa_East"
"Area harvested","Sesame",2060997,"Africa_East","Africa_East"
"Area harvested","Coffee",966561.666666666,"Africa_East","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_East","Africa_East"
"Area harvested","NA",NA,"Africa_Indian_Ocean_Islands","Africa_East"
"Area harvested","Sorghum",9427831.76,"Africa_Southern","Africa_East"
"Area harvested","Millets",2966079.33333333,"Africa_Southern","Africa_East"
"Area harvested","Cowpeas",392404.999999999,"Africa_Southern","Africa_East"
"Area harvested","Cottonseed oil",304174.333333333,"Africa_Southern","Africa_East"
