"Country","Region_crops","Average","Percentage","Element"
"Afghanistan","Asia_West",2791887.33,0.274082538579209,"Area harvested"
"Afghanistan","Mediterranean_SouthandEast",2694223.33,0.26449476017563,"Area harvested"
"Afghanistan","Asia_Central",2647525,0.259910335619425,"Area harvested"
"Afghanistan","Asia_East",344486.67,0.0338186215488496,"Area harvested"
"Afghanistan","Asia_South",298940.67,0.0293473224502114,"Area harvested"
"Afghanistan","Asia_Southeast",266733.33,0.026185493742717,"Area harvested"
"Afghanistan","Africa_West",244525.67,0.0240053442204568,"Area harvested"
"Afghanistan","Africa_Central",206000,0.0202232383594495,"Area harvested"
"Afghanistan","America_Central_and_Mexico",201666.67,0.0197978307600313,"Area harvested"
"Afghanistan","Africa_East",120659,0.0118452219282176,"Area harvested"
"Afghanistan","Africa_Southern",95803.67,0.00940514783553419,"Area harvested"
"Afghanistan","America_North",62891.33,0.00617410853074174,"Area harvested"
"Afghanistan","Europe_Eastern_south",35918.67,0.00352617390759422,"Area harvested"
"Afghanistan","America_South_tropical",33000,0.00323964497991182,"Area harvested"
"Afghanistan","America_Caribbean",33000,0.00323964497991182,"Area harvested"
"Afghanistan","Pacific_Region_tropical",31859,0.00312763180045486,"Area harvested"
"Afghanistan","Europe_Western_south",31703.67,0.00311238288970548,"Area harvested"
"Afghanistan","America_South_andean",20866.67,0.00204850311251444,"Area harvested"
"Afghanistan","Europe_Western_north",12305.33,0.00120802728971692,"Area harvested"
"Afghanistan","Europe_Eastern_north",12305.33,0.00120802728971692,"Area harvested"
"Afghanistan","Europe_Eastern_North",0,0,"Area harvested"
"Afghanistan","America_South_temperate",0,0,"Area harvested"
"Albania","Asia_West",373130.67,0.23353780784619,"Area harvested"
"Albania","Asia_Central",318280,0.199207461239478,"Area harvested"
"Albania","Mediterranean_SouthandEast",207690.33,0.129990773417398,"Area harvested"
"Albania","Europe_Western_south",125391.67,0.0784810740268896,"Area harvested"
"Albania","Europe_Eastern_south",124131.33,0.0776922430236894,"Area harvested"
"Albania","Europe_Western_north",77352.33,0.0484138534631718,"Area harvested"
"Albania","Europe_Eastern_north",77352.33,0.0484138534631718,"Area harvested"
"Albania","America_Central_and_Mexico",77255,0.048352935836546,"Area harvested"
"Albania","Asia_South",75273.67,0.0471128462324942,"Area harvested"
"Albania","Africa_East",44565.33,0.0278928812636658,"Area harvested"
"Albania","America_South_andean",29737.67,0.0186124347865948,"Area harvested"
"Albania","Asia_East",27253.33,0.0170575175305445,"Area harvested"
"Albania","America_North",10486.67,0.00656347526566607,"Area harvested"
"Albania","Africa_Southern",9163.33,0.00573521335239269,"Area harvested"
"Albania","Asia_Southeast",8868.67,0.00555078935299334,"Area harvested"
"Albania","America_South_tropical",4160.33,0.00260389838261417,"Area harvested"
"Albania","America_Caribbean",3740,0.00234081910593078,"Area harvested"
"Albania","Africa_West",1949.33,0.0012200612052845,"Area harvested"
"Albania","Pacific_Region_tropical",1949.33,0.0012200612052845,"Area harvested"
"Albania","Africa_Central",0,0,"Area harvested"
"Albania","America_South_temperate",0,0,"Area harvested"
"Albania","Europe_Eastern_North",0,0,"Area harvested"
"Algeria","Asia_West",3630661.67,0.286106562464937,"Area harvested"
"Algeria","Mediterranean_SouthandEast",3494336.67,0.275363761104426,"Area harvested"
"Algeria","Asia_Central",3043472.33,0.239834356775373,"Area harvested"
"Algeria","Europe_Western_south",473899.67,0.0373446544626583,"Area harvested"
"Algeria","Europe_Eastern_south",470440.33,0.037072048539618,"Area harvested"
"Algeria","Africa_East",338372.67,0.0266647377930378,"Area harvested"
"Algeria","Asia_East",277864.67,0.0218965336872477,"Area harvested"
"Algeria","Asia_South",255267.67,0.0201158252159954,"Area harvested"
"Algeria","America_South_andean",151168,0.0119124723716544,"Area harvested"
"Algeria","Europe_Eastern_north",115194.33,0.00907764390278524,"Area harvested"
"Algeria","Europe_Western_north",115194.33,0.00907764390278524,"Area harvested"
"Algeria","America_North",82721,0.00651865227465881,"Area harvested"
"Algeria","Africa_Southern",72018.33,0.00567525115353573,"Area harvested"
"Algeria","America_Central_and_Mexico",52073.67,0.00410355468859579,"Area harvested"
"Algeria","Asia_Southeast",51838.67,0.00408503601396003,"Area harvested"
"Algeria","America_South_tropical",39952,0.00314833229382102,"Area harvested"
"Algeria","America_Caribbean",24977.67,0.0019683121016571,"Area harvested"
"Algeria","Africa_West",219.67,1.73106266265435e-05,"Area harvested"
"Algeria","Africa_Central",219.67,1.73106266265435e-05,"Area harvested"
"Algeria","Europe_Eastern_North",0,0,"Area harvested"
"Algeria","America_South_temperate",0,0,"Area harvested"
"Algeria","Pacific_Region_tropical",0,0,"Area harvested"
"Angola","America_Central_and_Mexico",3395908.67,0.206213434349219,"Area harvested"
"Angola","America_Central_and_Mexico",3395908.67,0.206213434349219,"Area harvested"
"Angola","America_South_tropical",1439613.33,0.08741919696981,"Area harvested"
"Angola","America_South_tropical",1439613.33,0.08741919696981,"Area harvested"
"Angola","America_South_andean",826208,0.0501707218076626,"Area harvested"
"Angola","America_South_andean",826208,0.0501707218076626,"Area harvested"
"Angola","Africa_West",451538.33,0.0274192502855535,"Area harvested"
"Angola","Africa_West",451538.33,0.0274192502855535,"Area harvested"
"Angola","Africa_East",435591,0.0264508633212479,"Area harvested"
"Angola","Africa_East",435591,0.0264508633212479,"Area harvested"
"Angola","Africa_Southern",371574.67,0.0225635304903173,"Area harvested"
"Angola","Africa_Southern",371574.67,0.0225635304903173,"Area harvested"
"Angola","Asia_South",370599.33,0.0225043038648091,"Area harvested"
