"Y2009","Y2010","Y2011","Country","Element"
40.6,39.9,40.3,"Afghanistan","Protein supply quantity (g/capita/day)"
0.9,0.8,0.8,"Albania","Protein supply quantity (g/capita/day)"
51.3,49.7,51.3,"Algeria","Protein supply quantity (g/capita/day)"
1.9,2.2,2.2,"Angola","Protein supply quantity (g/capita/day)"
3.1,2.9,3.6,"Antigua and Barbuda","Protein supply quantity (g/capita/day)"
6.5,6.4,6.8,"Argentina","Protein supply quantity (g/capita/day)"
32.2,32.1,31.9,"Armenia","Protein supply quantity (g/capita/day)"
0.1,0.1,0.1,"Australia","Protein supply quantity (g/capita/day)"
1,1.2,1.3,"Austria","Protein supply quantity (g/capita/day)"
49.2,48.5,47.9,"Azerbaijan","Protein supply quantity (g/capita/day)"
3.9,3.3,3.3,"Bahamas","Protein supply quantity (g/capita/day)"
34.4,34.3,33.8,"Bangladesh","Protein supply quantity (g/capita/day)"
8,7.8,7.5,"Barbados","Protein supply quantity (g/capita/day)"
2.3,2.3,2.3,"Belarus","Protein supply quantity (g/capita/day)"
0.8,0.8,0.8,"Belgium","Protein supply quantity (g/capita/day)"
10.7,10.7,10.4,"Belize","Protein supply quantity (g/capita/day)"
21.8,21.8,22.1,"Benin","Protein supply quantity (g/capita/day)"
3,2.8,3.2,"Bermuda","Protein supply quantity (g/capita/day)"
11.5,12.5,13.5,"Bolivia (Plurinational State of)","Protein supply quantity (g/capita/day)"
0.6,0.5,0.5,"Bosnia and Herzegovina","Protein supply quantity (g/capita/day)"
9.1,9.6,9.3,"Botswana","Protein supply quantity (g/capita/day)"
17.6,17.8,18.1,"Brazil","Protein supply quantity (g/capita/day)"
13.9,14.1,14.2,"Brunei Darussalam","Protein supply quantity (g/capita/day)"
0.4,0.3,0.3,"Bulgaria","Protein supply quantity (g/capita/day)"
39.3,39.3,38.2,"Burkina Faso","Protein supply quantity (g/capita/day)"
11.6,11.7,12.9,"Cabo Verde","Protein supply quantity (g/capita/day)"
31.2,31.4,31.3,"Cambodia","Protein supply quantity (g/capita/day)"
17,17.4,17.7,"Cameroon","Protein supply quantity (g/capita/day)"
0.2,0.2,0.2,"Canada","Protein supply quantity (g/capita/day)"
15,14.8,14.5,"Central African Republic","Protein supply quantity (g/capita/day)"
24.9,25.4,25.9,"Chad","Protein supply quantity (g/capita/day)"
10.2,10.1,10.7,"Chile","Protein supply quantity (g/capita/day)"
11.4,11.3,11.5,"China, Hong Kong SAR","Protein supply quantity (g/capita/day)"
9.9,9.6,10.1,"China, Macao SAR","Protein supply quantity (g/capita/day)"
18.9,19.4,19.4,"China, mainland","Protein supply quantity (g/capita/day)"
20.3,20.5,20.4,"China, Taiwan Province of","Protein supply quantity (g/capita/day)"
11.5,10.7,10.7,"Colombia","Protein supply quantity (g/capita/day)"
4.5,4.7,4.7,"Congo","Protein supply quantity (g/capita/day)"
11.5,11.4,11.8,"Costa Rica","Protein supply quantity (g/capita/day)"
21.6,21,20.8,"Côte d'Ivoire","Protein supply quantity (g/capita/day)"
0.4,0.4,0.4,"Croatia","Protein supply quantity (g/capita/day)"
16.6,15.9,19.2,"Cuba","Protein supply quantity (g/capita/day)"
20.1,20.5,20.2,"Cyprus","Protein supply quantity (g/capita/day)"
1.7,1.7,1.6,"Czech Republic","Protein supply quantity (g/capita/day)"
16.2,16.2,16.3,"Democratic People's Republic of Korea","Protein supply quantity (g/capita/day)"
3,3.1,3.1,"Denmark","Protein supply quantity (g/capita/day)"
14.6,15.6,15.8,"Djibouti","Protein supply quantity (g/capita/day)"
7.2,7.5,9.5,"Dominica","Protein supply quantity (g/capita/day)"
6,6.4,7.5,"Dominican Republic","Protein supply quantity (g/capita/day)"
