"Region","Region_crops","Element","Y2009","Y2010","Y2011"
"Andes","Africa","Fat supply quantity (g/capita/day)",14.5009564037844,18.8296331917172,18.2749959751561
"Andes","Africa","Food supply (kcal/capita/day)",502.353706279298,530.164461579634,530.325775100197
"Andes","Africa","Food supply quantity (g/capita/day)",124.279692302409,123.961855618372,127.037020090326
"Andes","Africa","Protein supply quantity (g/capita/day)",9.27564089355931,9.00872194159168,9.34435039019802
"Andes","Central Asia","Fat supply quantity (g/capita/day)",1.48943148062295,1.58405981333423,1.56483642187143
"Andes","Central Asia","Food supply (kcal/capita/day)",429.735538041518,448.199486501856,446.305676300872
"Andes","Central Asia","Food supply quantity (g/capita/day)",278.361390133759,283.206193757736,284.955031902184
"Andes","Central Asia","Protein supply quantity (g/capita/day)",11.2005571867649,11.7063166962165,11.6787208622487
"Andes","East Asia","Fat supply quantity (g/capita/day)",12.4828525558475,13.2434131736527,12.750250387656
"Andes","East Asia","Food supply (kcal/capita/day)",474.897757516441,472.349906332587,472.758848301517
"Andes","East Asia","Food supply quantity (g/capita/day)",165.195882484246,162.552896999298,167.832193667014
"Andes","East Asia","Protein supply quantity (g/capita/day)",7.67905527224025,7.2436071990098,7.51333028292534
"Andes","Europe","Fat supply quantity (g/capita/day)",1.17629423582136,1.40287860034122,1.30364608488608
"Andes","Europe","Food supply (kcal/capita/day)",343.120194371469,327.902811695046,320.098884059076
"Andes","Europe","Food supply quantity (g/capita/day)",105.828190731297,102.04714314388,101.59096570833
"Andes","Europe","Protein supply quantity (g/capita/day)",1.16782568382012,1.05542685578564,1.19430505774592
"Andes","Latin America","Fat supply quantity (g/capita/day)",17.5045931420526,21.7333096377078,21.0637679317387
"Andes","Latin America","Food supply (kcal/capita/day)",576.820953313071,616.303900578731,599.240389096486
"Andes","Latin America","Food supply quantity (g/capita/day)",347.13639485568,356.010002341685,348.498029944838
"Andes","Latin America","Protein supply quantity (g/capita/day)",10.6553289033122,10.7787634228749,10.5093054390469
"Andes","North America","Fat supply quantity (g/capita/day)",1.49035955287694,2.06372478506674,1.75555047154224
"Andes","North America","Food supply (kcal/capita/day)",21.9153144799877,28.1722894992138,25.283840463662
"Andes","North America","Food supply quantity (g/capita/day)",15.1453493363554,16.2568410664704,16.6931967428421
"Andes","North America","Protein supply quantity (g/capita/day)",0.0145881625714727,0.0144749606931389,0.0145326520755484
"Andes","Pacific","Fat supply quantity (g/capita/day)",0.531569051666409,0.561603050881476,0.575072235355924
"Andes","Pacific","Food supply (kcal/capita/day)",9.63373340888408,10.9884839260027,10.730691341078
"Andes","Pacific","Food supply quantity (g/capita/day)",10.323932416422,10.930819924397,10.6259182999059
"Andes","Pacific","Protein supply quantity (g/capita/day)",0.122424835591271,0.161682500919948,0.161702127659574
"Andes","South Asia","Fat supply quantity (g/capita/day)",1.43951475815175,1.48438346770147,1.49768931594601
"Andes","South Asia","Food supply (kcal/capita/day)",794.008310582255,772.807613822633,769.778574273198
"Andes","South Asia","Food supply quantity (g/capita/day)",346.115558302856,344.925467500753,347.893464500877
"Andes","South Asia","Protein supply quantity (g/capita/day)",9.46959425814316,9.38708476900946,9.53709550319022
"Andes","Southeast Asia","Fat supply quantity (g/capita/day)",1.21108106251824,1.22728314321078,1.24035011905065
"Andes","Southeast Asia","Food supply (kcal/capita/day)",771.887437971119,749.869476131536,745.973969851801
"Andes","Southeast Asia","Food supply quantity (g/capita/day)",332.195470389258,330.353310139498,332.914097121601
"Andes","Southeast Asia","Protein supply quantity (g/capita/day)",8.03679922388776,7.86843240892517,7.93553047442317
"Andes","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",2.79163790587064,3.10001087211052,2.95927620597033
"Andes","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",787.675260564227,790.842162044625,780.04367167442
"Andes","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",379.876603307062,381.039189776871,378.986501944636
"Andes","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",13.5975583371967,14.0767320108387,14.2322411178051
"Australia New Zealand","Africa","Fat supply quantity (g/capita/day)",25.216437784522,23.0268937696101,22.6914269931873
"Australia New Zealand","Africa","Food supply (kcal/capita/day)",345.62435508346,334.326759300762,331.264076597311
"Australia New Zealand","Africa","Food supply quantity (g/capita/day)",77.768057663126,78.9211116091439,78.0104216534708
"Australia New Zealand","Africa","Protein supply quantity (g/capita/day)",3.80160091047041,4.1305244285074,4.6187258331799
"Australia New Zealand","Central Asia","Fat supply quantity (g/capita/day)",2.61800075872534,2.5347377857463,2.45123549990794
"Australia New Zealand","Central Asia","Food supply (kcal/capita/day)",713.836001517451,687.057821604661,672.176836678328
"Australia New Zealand","Central Asia","Food supply quantity (g/capita/day)",532.86411229135,502.352756611385,517.321229976063
"Australia New Zealand","Central Asia","Protein supply quantity (g/capita/day)",20.8736039453717,19.385791125056,18.516254833364
"Australia New Zealand","East Asia","Fat supply quantity (g/capita/day)",4.23639226100152,4.01788435679067,5.00637083410054
"Australia New Zealand","East Asia","Food supply (kcal/capita/day)",225.951972685887,231.14208874944,221.473356656233
"Australia New Zealand","East Asia","Food supply quantity (g/capita/day)",242.276062215478,253.536978933214,232.646326643344
"Australia New Zealand","East Asia","Protein supply quantity (g/capita/day)",2.74919954476479,2.84894666069027,2.60247099981587
"Australia New Zealand","Europe","Fat supply quantity (g/capita/day)",23.4136267071321,27.7084715374272,26.4889559933714
"Australia New Zealand","Europe","Food supply (kcal/capita/day)",647.147989377845,672.984311967728,671.158681642423
"Australia New Zealand","Europe","Food supply quantity (g/capita/day)",217.623975720789,216.142088749439,221.724323329037
"Australia New Zealand","Europe","Protein supply quantity (g/capita/day)",0.89839908952959,0.942626624831914,1.91378383354815
"Australia New Zealand","Latin America","Fat supply quantity (g/capita/day)",23.8412329286798,21.469520394442,21.7189946602835
"Australia New Zealand","Latin America","Food supply (kcal/capita/day)",368.332283763277,351.568803227252,344.578751611121
"Australia New Zealand","Latin America","Food supply quantity (g/capita/day)",291.620068285281,296.147467503362,265.847873319831
"Australia New Zealand","Latin America","Protein supply quantity (g/capita/day)",5.51479893778452,5.98157776781713,5.48374516663598
"Australia New Zealand","North America","Fat supply quantity (g/capita/day)",4.67360394537177,2.71842223218287,3.70741299944762
"Australia New Zealand","North America","Food supply (kcal/capita/day)",92.9480652503794,80.1053339309727,82.6606149880317
"Australia New Zealand","North America","Food supply quantity (g/capita/day)",85.4240515933232,88.8000896458988,80.1482599889523
"Australia New Zealand","North America","Protein supply quantity (g/capita/day)",0.132799696509863,0.216315553563424,0.216254833364021
"Australia New Zealand","Pacific","Fat supply quantity (g/capita/day)",1.42479514415782,2.70156880322725,2.1911581660836
"Australia New Zealand","Pacific","Food supply (kcal/capita/day)",13.5919575113809,25.1999103541013,20.2366783281164
"Australia New Zealand","Pacific","Food supply quantity (g/capita/day)",6.65599393019727,7.81577767817123,7.51235499907936
"Australia New Zealand","Pacific","Protein supply quantity (g/capita/day)",0.1,0.1,0.1
"Australia New Zealand","South Asia","Fat supply quantity (g/capita/day)",2.27559559939302,3.58525324966383,3.02613883262751
"Australia New Zealand","South Asia","Food supply (kcal/capita/day)",563.583763277693,570.004930524428,539.80232001473
"Australia New Zealand","South Asia","Food supply quantity (g/capita/day)",191.855918057663,194.320932317346,176.226256674645
"Australia New Zealand","South Asia","Protein supply quantity (g/capita/day)",3.26720030349013,3.5,3.1187258331799
"Australia New Zealand","Southeast Asia","Fat supply quantity (g/capita/day)",1.72479514415781,3.00156880322726,2.45864849935555
"Australia New Zealand","Southeast Asia","Food supply (kcal/capita/day)",544.223748103187,547.147019273868,519.615061682931
"Australia New Zealand","Southeast Asia","Food supply quantity (g/capita/day)",184.347913505312,185.81039892425,168.551353341926
"Australia New Zealand","Southeast Asia","Protein supply quantity (g/capita/day)",2.51639984825494,2.53263110712685,2.3187258331799
"Australia New Zealand","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",26.2168285280728,30.6453160017929,29.2264076597312
"Australia New Zealand","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",1383.48808801214,1398.64231286418,1371.58261830234
"Australia New Zealand","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",685.0281107739,669.068579112506,672.88300497146
"Australia New Zealand","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",22.208004552352,21.2836844464366,21.183745166636
"Caribbean","Africa","Fat supply quantity (g/capita/day)",8.59253982252108,8.77404976756905,10.7781949380137
"Caribbean","Africa","Food supply (kcal/capita/day)",635.856060188502,623.288624555646,662.487968966172
"Caribbean","Africa","Food supply quantity (g/capita/day)",207.24017527421,205.267541700848,210.519735235873
"Caribbean","Africa","Protein supply quantity (g/capita/day)",13.8704679490713,12.9067678424939,13.1746086862165
"Caribbean","Central Asia","Fat supply quantity (g/capita/day)",1.21851953921623,1.42507793273175,1.29704581830019
"Caribbean","Central Asia","Food supply (kcal/capita/day)",330.752769663231,357.433852884878,335.372161788243
"Caribbean","Central Asia","Food supply quantity (g/capita/day)",181.472468720719,194.4899097621,194.16132707593
"Caribbean","Central Asia","Protein supply quantity (g/capita/day)",8.95574050598027,9.45103910308996,8.95829422456121
"Caribbean","East Asia","Fat supply quantity (g/capita/day)",19.0294218155763,19.9092753623188,21.157024658872
"Caribbean","East Asia","Food supply (kcal/capita/day)",653.51832662735,650.035138091332,691.913978786317
"Caribbean","East Asia","Food supply quantity (g/capita/day)",219.668990795348,209.22403609516,216.093237121233
"Caribbean","East Asia","Protein supply quantity (g/capita/day)",11.335228462768,10.8276210008203,11.6174239752598
"Caribbean","Europe","Fat supply quantity (g/capita/day)",0.276803725954914,0.330957068635494,0.284602446897973
"Caribbean","Europe","Food supply (kcal/capita/day)",399.290911095188,390.062045392398,373.11228060657
"Caribbean","Europe","Food supply quantity (g/capita/day)",114.813068401036,112.102761826634,111.188752950113
"Caribbean","Europe","Protein supply quantity (g/capita/day)",0.244592955960977,0.554670494941208,0.265990288365027
"Caribbean","Latin America","Fat supply quantity (g/capita/day)",11.0717549468114,11.4962783702488,13.8636790277514
"Caribbean","Latin America","Food supply (kcal/capita/day)",488.777875764758,528.731337161609,551.830778829721
"Caribbean","Latin America","Food supply quantity (g/capita/day)",356.881910378659,366.162674323216,365.737948620568
"Caribbean","Latin America","Protein supply quantity (g/capita/day)",11.7627817891198,12.369064807219,13.2887610883542
"Caribbean","North America","Fat supply quantity (g/capita/day)",0.805335391059913,0.743297785069729,0.602742587418279
"Caribbean","North America","Food supply (kcal/capita/day)",9.53494460673538,9.57648345638501,8.59623470688765
"Caribbean","North America","Food supply quantity (g/capita/day)",5.81395028385603,5.57563576702215,5.27854488240242
"Caribbean","North America","Protein supply quantity (g/capita/day)",0.0101857465689247,0.00963904840032814,0.00814095434446464
"Caribbean","Pacific","Fat supply quantity (g/capita/day)",3.29836576089952,3.79260869565217,3.81859045655535
"Caribbean","Pacific","Food supply (kcal/capita/day)",49.5980819048669,52.5252392671588,53.6649485934406
"Caribbean","Pacific","Food supply quantity (g/capita/day)",31.1258336548531,33.7020508613618,35.2608306431924
"Caribbean","Pacific","Protein supply quantity (g/capita/day)",0.483698947252384,0.493273174733388,0.515736646501913
"Caribbean","South Asia","Fat supply quantity (g/capita/day)",5.17746789395358,5.62219031993437,5.77794807801861
"Caribbean","South Asia","Food supply (kcal/capita/day)",1098.34895000827,1070.2192780968,1100.22768087242
"Caribbean","South Asia","Food supply quantity (g/capita/day)",470.362233368241,473.580257041291,496.735534275561
"Caribbean","South Asia","Protein supply quantity (g/capita/day)",14.4730970622279,13.2188405797101,14.0206195914603
"Caribbean","Southeast Asia","Fat supply quantity (g/capita/day)",4.74947362619192,5.2950341810227,5.38712530179314
"Caribbean","Southeast Asia","Food supply (kcal/capita/day)",1051.81590696136,1041.99606234619,1069.39782437675
"Caribbean","Southeast Asia","Food supply quantity (g/capita/day)",462.388359146778,471.263932184851,491.433931041965
"Caribbean","Southeast Asia","Protein supply quantity (g/capita/day)",11.4328005291297,11.3843341536779,12.057024658872
"Caribbean","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",1.86070109684176,2.02039376538146,1.89340531155902
"Caribbean","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",776.22510058976,776.962865736943,739.488267368364
"Caribbean","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",306.750812985724,312.006535411539,308.987765510132
"Caribbean","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",12.1878630876922,11.8116680339076,11.1424165152049
"Central Africa","Africa","Fat supply quantity (g/capita/day)",16.4499755022048,15.9990024748043,16.0412623409562
"Central Africa","Africa","Food supply (kcal/capita/day)",484.302037399967,484.233636720557,487.508121104607
"Central Africa","Africa","Food supply quantity (g/capita/day)",149.745141270619,152.922266028086,154.45568055876
"Central Africa","Africa","Protein supply quantity (g/capita/day)",9.70120243344765,9.95799436286447,10.0316117288122
"Central Africa","Central Asia","Fat supply quantity (g/capita/day)",0.815845990527519,0.86530548247678,0.860363740687402
"Central Africa","Central Asia","Food supply (kcal/capita/day)",240.188857586151,255.2381565937,251.070357280058
"Central Africa","Central Asia","Food supply quantity (g/capita/day)",173.244222603299,184.515577090748,183.726132325498
"Central Africa","Central Asia","Protein supply quantity (g/capita/day)",6.3839702760085,6.8070104516105,6.59353248335355
"Central Africa","East Asia","Fat supply quantity (g/capita/day)",4.45684713375796,4.69126880558934,4.24033190656156
"Central Africa","East Asia","Food supply (kcal/capita/day)",209.47801322881,216.417888997317,213.66713914455
"Central Africa","East Asia","Food supply quantity (g/capita/day)",62.2970561816103,64.2145558615522,64.1860301158622
"Central Africa","East Asia","Protein supply quantity (g/capita/day)",3.41995141270619,3.45014259047597,3.52534890802321
"Central Africa","Europe","Fat supply quantity (g/capita/day)",0.220318879634166,0.257412017777531,0.216482998611592
"Central Africa","Europe","Food supply (kcal/capita/day)",108.428915564266,115.30022142004,118.564920920689
"Central Africa","Europe","Food supply quantity (g/capita/day)",54.682794381839,57.1158947373989,57.0188742415313
"Central Africa","Europe","Protein supply quantity (g/capita/day)",0.177617181120366,0.222692529134984,0.175790937536215
"Central Africa","Latin America","Fat supply quantity (g/capita/day)",28.1550853339866,28.3394811368778,28.5891920715858
"Central Africa","Latin America","Food supply (kcal/capita/day)",1208.22446104851,1218.76349293633,1220.1179385903
"Central Africa","Latin America","Food supply quantity (g/capita/day)",806.973542381186,817.808638348575,816.879012486873
"Central Africa","Latin America","Protein supply quantity (g/capita/day)",22.0582292177037,22.3777058117521,22.4383522581293
"Central Africa","North America","Fat supply quantity (g/capita/day)",0.279078882900539,0.258667496041687,0.266366932055339
"Central Africa","North America","Food supply (kcal/capita/day)",6.49648864935489,6.78348201981816,6.81442878546707
"Central Africa","North America","Food supply quantity (g/capita/day)",6.71776498448473,6.96315602565509,7.62429474135226
"Central Africa","North America","Protein supply quantity (g/capita/day)",0,0,0
"Central Africa","Pacific","Fat supply quantity (g/capita/day)",0.305399722358321,0.268018026961028,0.269194962722603
"Central Africa","Pacific","Food supply (kcal/capita/day)",36.410419728891,36.0654767813537,35.6864256190366
"Central Africa","Pacific","Food supply quantity (g/capita/day)",41.4244651314715,41.1876352518414,40.8923590991617
"Central Africa","Pacific","Protein supply quantity (g/capita/day)",0.596139555773313,0.599936468859815,0.600011588828369
"Central Africa","South Asia","Fat supply quantity (g/capita/day)",2.7412257063531,2.43855591947674,2.36455714335831
"Central Africa","South Asia","Food supply (kcal/capita/day)",529.191491099134,537.640613605082,545.538543667639
"Central Africa","South Asia","Food supply quantity (g/capita/day)",375.77935652458,380.128397503106,386.137996511385
"Central Africa","South Asia","Protein supply quantity (g/capita/day)",8.77313816756492,8.89161816872716,9.03979155975154
"Central Africa","Southeast Asia","Fat supply quantity (g/capita/day)",1.0864731340846,1.00762668980423,1.04428131932673
"Central Africa","Southeast Asia","Food supply (kcal/capita/day)",478.198901682182,488.467853699313,496.838991669838
"Central Africa","Southeast Asia","Food supply quantity (g/capita/day)",363.548566878981,367.884557045682,374.021007288995
"Central Africa","Southeast Asia","Protein supply quantity (g/capita/day)",6.08838192062714,6.17820640385816,6.31962255104629
"Central Africa","W Asia and SE Mediterranean","Fat supply quantity (g/capita/day)",2.69091744243018,2.55364672992682,2.39712256333057
"Central Africa","W Asia and SE Mediterranean","Food supply (kcal/capita/day)",403.458782459579,423.251184434789,421.967254155927
"Central Africa","W Asia and SE Mediterranean","Food supply quantity (g/capita/day)",244.597521639719,257.607912627484,258.013178395314
"Central Africa","W Asia and SE Mediterranean","Protein supply quantity (g/capita/day)",9.24324269149109,9.74311474561449,9.48641366419152
"Central America","Africa","Fat supply quantity (g/capita/day)",9.64397761580537,9.97740709827713,11.1202125307125
"Central America","Africa","Food supply (kcal/capita/day)",209.341630559731,208.911533143149,222.226879606879
"Central America","Africa","Food supply quantity (g/capita/day)",46.5377512221619,48.1081185454636,49.5363636363636
"Central America","Africa","Protein supply quantity (g/capita/day)",3.79891679193563,3.74042641984229,3.7906124078624
"Central America","Central Asia","Fat supply quantity (g/capita/day)",1.03875042633554,1.0726115879561,1.14996805896806
"Central America","Central Asia","Food supply (kcal/capita/day)",295.009410962192,299.302343253647,310.016523341524
"Central America","Central Asia","Food supply quantity (g/capita/day)",254.953254677059,248.001544728613,254.65550982801
"Central America","Central Asia","Protein supply quantity (g/capita/day)",7.10822796003183,7.2266571574502,7.64172051597052
"Central America","East Asia","Fat supply quantity (g/capita/day)",11.5880026022258,12.4516481257708,14.110191031941
"Central America","East Asia","Food supply (kcal/capita/day)",239.238065763046,242.462876683318,260.713304668305
"Central America","East Asia","Food supply quantity (g/capita/day)",173.780143501383,159.439369401916,162.146787469288
"Central America","East Asia","Protein supply quantity (g/capita/day)",2.84023660043202,2.73223686669241,2.80609336609336
"Central America","Europe","Fat supply quantity (g/capita/day)",3.22194143728762,3.60555790863678,3.90497051597052
"Central America","Europe","Food supply (kcal/capita/day)",474.42560918611,432.876988526653,422.98207002457
"Central America","Europe","Food supply quantity (g/capita/day)",146.227960031833,132.06905808927,128.402880835381
