"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa_Central","Afghanistan","Area harvested",2e+05,208000,210000
"Africa_Central","Afghanistan","Production",645000,672000,672000
"Africa_Central","Albania","Area harvested",0,0,0
"Africa_Central","Albania","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Albania","Production",0,0,0
"Africa_Central","Algeria","Area harvested",213,173,273
"Africa_Central","Algeria","Gross Production Value (current million US$)",0.17,0.11,0.31
"Africa_Central","Algeria","Production",652,314,1214
"Africa_Central","Angola","Area harvested",254620,242211,266310
"Africa_Central","Angola","Gross Production Value (current million US$)",0,45.94,0
"Africa_Central","Angola","Production",424621,470791,486911
"Africa_Central","Antigua and Barbuda","Area harvested",0,0,0
"Africa_Central","Antigua and Barbuda","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Antigua and Barbuda","Production",0,0,0
"Africa_Central","Argentina","Area harvested",1183460,1586310,1890062
"Africa_Central","Argentina","Gross Production Value (current million US$)",441.5,717.4,1170.84
"Africa_Central","Argentina","Production",14055425,16306259,17640517
"Africa_Central","Armenia","Area harvested",0,0,0
"Africa_Central","Armenia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Armenia","Production",0,0,0
"Africa_Central","Australia","Area harvested",774986,534900,708854
"Africa_Central","Australia","Gross Production Value (current million US$)",467.24,369.82,603.75
"Africa_Central","Australia","Production",2756989,1794700,2657793
"Africa_Central","Austria","Area harvested",0,1200,1100
"Africa_Central","Austria","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Austria","Production",0,7900,7500
"Africa_Central","Azerbaijan","Area harvested",1722,1640,1764
"Africa_Central","Azerbaijan","Gross Production Value (current million US$)",1.44,1.31,1.25
"Africa_Central","Azerbaijan","Production",4353,3930,3695
"Africa_Central","Bahamas","Area harvested",0,0,0
"Africa_Central","Bahamas","Production",0,0,0
"Africa_Central","Bangladesh","Area harvested",11353732,11529196,11528150
"Africa_Central","Bangladesh","Gross Production Value (current million US$)",9105.1,8797.55,10381
"Africa_Central","Bangladesh","Production",48144266,50061451,50627220
"Africa_Central","Barbados","Area harvested",0,0,0
"Africa_Central","Barbados","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Barbados","Production",0,0,0
"Africa_Central","Belarus","Area harvested",0,0,0
"Africa_Central","Belarus","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Belarus","Production",0,0,0
"Africa_Central","Belgium","Area harvested",0,0,0
"Africa_Central","Belgium","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Belgium","Production",0,0,0
"Africa_Central","Belize","Area harvested",9967,10213,9675
"Africa_Central","Belize","Gross Production Value (current million US$)",7.61,7.64,7.26
"Africa_Central","Belize","Production",30011,31730,29107
"Africa_Central","Benin","Area harvested",196727,194759,206424
"Africa_Central","Benin","Gross Production Value (current million US$)",143.35,127.72,213.69
"Africa_Central","Benin","Production",787956.78,858574.72,918504
"Africa_Central","Bermuda","Area harvested",0,0,0
"Africa_Central","Bermuda","Production",0,0,0
"Africa_Central","Bolivia (Plurinational State of)","Area harvested",348330,310030,318599.01
"Africa_Central","Bolivia (Plurinational State of)","Gross Production Value (current million US$)",138.14,147.47,143.27
"Africa_Central","Bolivia (Plurinational State of)","Production",950536,817463,825364.67
"Africa_Central","Bosnia and Herzegovina","Area harvested",500,500,500
"Africa_Central","Bosnia and Herzegovina","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Bosnia and Herzegovina","Production",1100,1200,1200
"Africa_Central","Botswana","Area harvested",58661,57475,78697
"Africa_Central","Botswana","Gross Production Value (current million US$)",10.15,17.14,25.61
"Africa_Central","Botswana","Production",29577,32767,44787
"Africa_Central","Brazil","Area harvested",5904475,5649844,5768156
"Africa_Central","Brazil","Gross Production Value (current million US$)",9171.02,11410.37,15777.25
"Africa_Central","Brazil","Production",18487533,17426928,19888661
"Africa_Central","Brunei Darussalam","Area harvested",1731,1848,1604
"Africa_Central","Brunei Darussalam","Gross Production Value (current million US$)",1.8,2.29,3.56
"Africa_Central","Brunei Darussalam","Production",891,1072,1480
"Africa_Central","Bulgaria","Area harvested",7251,15200,14634
"Africa_Central","Bulgaria","Gross Production Value (current million US$)",18.96,21.78,22.08
"Africa_Central","Bulgaria","Production",45254,64600,65173
"Africa_Central","Burkina Faso","Area harvested",2746549,3486810,2790723
"Africa_Central","Burkina Faso","Gross Production Value (current million US$)",707.16,912.04,811.34
"Africa_Central","Burkina Faso","Production",2235891,2951998,2241271
"Africa_Central","Cabo Verde","Area harvested",0,0,0
"Africa_Central","Cabo Verde","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Cabo Verde","Production",0,0,0
"Africa_Central","Cambodia","Area harvested",2675023,2776928,2968958
"Africa_Central","Cambodia","Gross Production Value (current million US$)",1631.22,2015.98,2358.17
"Africa_Central","Cambodia","Production",7586220,8245678,8779357
"Africa_Central","Cameroon","Area harvested",1347775,1556892,1563486
"Africa_Central","Cameroon","Gross Production Value (current million US$)",849.04,896.61,1040.17
"Africa_Central","Cameroon","Production",3348819,4119843,4405524
"Africa_Central","Canada","Area harvested",0,0,0
"Africa_Central","Canada","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Canada","Production",0,0,0
"Africa_Central","Central African Republic","Area harvested",85482,83271,79630
"Africa_Central","Central African Republic","Production",103658,99716,99770
"Africa_Central","Chad","Area harvested",957814,1e+06,960000
"Africa_Central","Chad","Gross Production Value (current million US$)",420.55,387.88,365.39
"Africa_Central","Chad","Production",775963,850000,820567
"Africa_Central","Chile","Area harvested",23680,24527,25121
"Africa_Central","Chile","Gross Production Value (current million US$)",31.34,23.4,36.02
"Africa_Central","Chile","Production",127311,94672.5,130375
"Africa_Central","China, Hong Kong SAR","Area harvested",0,0,0
"Africa_Central","China, Hong Kong SAR","Gross Production Value (current million US$)",0,0,0
"Africa_Central","China, Hong Kong SAR","Production",0,0,0
"Africa_Central","China, Macao SAR","Area harvested",0,0,0
"Africa_Central","China, Macao SAR","Production",0,0,0
"Africa_Central","China, mainland","Area harvested",30258900,30493107,30634800
"Africa_Central","China, mainland","Gross Production Value (current million US$)",56107.49,58826.29,81940.09
"Africa_Central","China, mainland","Production",197809005,199206596,204041184
"Africa_Central","China, Taiwan Province of","Area harvested",254762,245612,256089
"Africa_Central","China, Taiwan Province of","Production",1578888,1455422,1669689
"Africa_Central","Colombia","Area harvested",1511847,1436467.53,1496050
"Africa_Central","Colombia","Gross Production Value (current million US$)",2780.41,3312.28,4167.53
"Africa_Central","Colombia","Production",7258912.1,6673569.9,8542697.52
"Africa_Central","Congo","Area harvested",22000,22500,24723
"Africa_Central","Congo","Gross Production Value (current million US$)",14.25,13.88,16.71
"Africa_Central","Congo","Production",162360,162700,163175
"Africa_Central","Costa Rica","Area harvested",217010,222096,239797
"Africa_Central","Costa Rica","Gross Production Value (current million US$)",252.99,303.16,369.72
"Africa_Central","Costa Rica","Production",1491201.4,1616909,1712558
"Africa_Central","Côte d'Ivoire","Area harvested",1426804,1291671,988048
"Africa_Central","Côte d'Ivoire","Gross Production Value (current million US$)",1070.32,1134.81,1329.42
"Africa_Central","Côte d'Ivoire","Production",3143229,3459578,3139941
"Africa_Central","Croatia","Area harvested",575,460,471
"Africa_Central","Croatia","Gross Production Value (current million US$)",0.15,0.18,0.29
"Africa_Central","Croatia","Production",1419,1300,1554
"Africa_Central","Cuba","Area harvested",242521,203557,235694
"Africa_Central","Cuba","Production",571877,463053,576808
"Africa_Central","Cyprus","Area harvested",140,160,191
"Africa_Central","Cyprus","Gross Production Value (current million US$)",1.17,0.82,0.8
"Africa_Central","Cyprus","Production",176,167,175
"Africa_Central","Czech Republic","Area harvested",0,0,0
"Africa_Central","Czech Republic","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Czech Republic","Production",0,0,0
"Africa_Central","Democratic People's Republic of Korea","Area harvested",589047,590050,591000
"Africa_Central","Democratic People's Republic of Korea","Production",2364424,2454930,2514000
"Africa_Central","Denmark","Area harvested",0,0,0
"Africa_Central","Denmark","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Denmark","Production",0,0,0
"Africa_Central","Djibouti","Area harvested",0,0,0
"Africa_Central","Djibouti","Production",0,0,0
"Africa_Central","Dominica","Area harvested",616,614,602
"Africa_Central","Dominica","Production",292,180,225
"Africa_Central","Dominican Republic","Area harvested",329565,335705.78,326568
"Africa_Central","Dominican Republic","Gross Production Value (current million US$)",1111.23,1014.6,958.19
"Africa_Central","Dominican Republic","Production",1078184,1160510.06,1217727
"Africa_Central","Ecuador","Area harvested",769886,739698,639781
"Africa_Central","Ecuador","Gross Production Value (current million US$)",651.91,826.71,891.46
"Africa_Central","Ecuador","Production",4285305,5092017,4011875
"Africa_Central","Egypt","Area harvested",718877,601628,751976
"Africa_Central","Egypt","Gross Production Value (current million US$)",1690.42,1657.37,2209.37
"Africa_Central","Egypt","Production",6309428,5037542,6520372
"Africa_Central","El Salvador","Area harvested",255216,253767.6,242332
"Africa_Central","El Salvador","Gross Production Value (current million US$)",201.04,384.96,412.97
"Africa_Central","El Salvador","Production",280477,313124,249681
"Africa_Central","Estonia","Area harvested",0,0,0
"Africa_Central","Estonia","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Estonia","Production",0,0,0
"Africa_Central","Ethiopia","Area harvested",2061419,2426218,2470248
"Africa_Central","Ethiopia","Gross Production Value (current million US$)",1453.02,1443.16,1558.93
"Africa_Central","Ethiopia","Production",3339863,4420878,4416736
"Africa_Central","Fiji","Area harvested",4091,2885,2849
"Africa_Central","Fiji","Gross Production Value (current million US$)",4.02,2.8,3.65
"Africa_Central","Fiji","Production",11684,7720,7954
"Africa_Central","Finland","Area harvested",0,0,0
"Africa_Central","Finland","Gross Production Value (current million US$)",0,0,0
"Africa_Central","Finland","Production",0,0,0
"Africa_Central","France","Area harvested",92182,83600,75900
"Africa_Central","France","Gross Production Value (current million US$)",99.82,102.2,143.84
"Africa_Central","France","Production",807935,769500,779900
"Africa_Central","French Polynesia","Area harvested",87,87,90
"Africa_Central","French Polynesia","Production",17,12,20
"Africa_Central","Gabon","Area harvested",4992,4947,5119
"Africa_Central","Gabon","Production",26420,25261,25653
