Item_final,Region,food_group,In_FS_study,In_FS_study_exact,Notes
Coffee,Africa_Central,Stimulants,Y,Y,"counting arabica and canephora. Native to E Africa (Arab, cane); C Af, W Af (cane)"
Cowpeas,Africa_Central,Pulses,N,N,as determined from contributing species PNAS (Vigna)
Kola_nuts,Africa_Central,Oilcrops,N,N,GRIN
Palm oil,Africa_Central,Oilcrops,Y,Y,CK added due to literature. Sp. Native down to Angola
Rice,Africa_Central,Cereals,Y,Y,As per JW- native to this region and cultivated there
Sheanuts,Africa_Central,Oilcrops,N,N,GRIN
Sorghum,Africa_Central,Cereals,Y,Y,As per Palacios
Bambara_beans,Africa_East,Pulses,Y,N,as determined from contributing species PNAS (Vigna)
Castor_oil,Africa_East,Oilcrops,N,N,Prota4U
Coffee,Africa_East,Stimulants,Y,Y,"counting arabica and canephora. Native to E Africa (Arab, cane); C Af, W Af (cane)"
Cottonseed oil,Africa_East,Oilcrops,Y,Y,As per Palacios (JW- if includeing G. arboreum)
Cowpeas,Africa_East,Pulses,N,N,as determined from contributing species PNAS (Vigna)
Melons,Africa_East,Fruits,N,N,GRIN
Millets,Africa_East,Cereals,Y,Y,As per Palacios
Olives,Africa_East,Oilcrops,Y,Y,"CK added due to literature, including GRIN taxonomy. JW- Only parts of Sudan."
Peas,Africa_East,Pulses,Y,Y,As per Palacios. JW- Only Ethiopia.
Peppermint,Africa_East,Spices,N,N,GRIN for parent aquatica
Sesame,Africa_East,Oilcrops,Y,Y,As per Palacios
Sheanuts,Africa_East,Oilcrops,N,N,GRIN
Sorghum,Africa_East,Cereals,Y,Y,As per Palacios
Bambara_beans,Africa_Southern,Pulses,Y,N,as determined from contributing species PNAS (Vigna)
Cottonseed oil,Africa_Southern,Oilcrops,Y,Y,As per Palacios (JW- if includeing G. herbaceum)
Cowpeas,Africa_Southern,Pulses,N,N,as determined from contributing species PNAS (Vigna)
Melons,Africa_Southern,Fruits,N,N,GRIN
Millets,Africa_Southern,Cereals,Y,Y,As per Palacios
Peppermint,Africa_Southern,Spices,N,N,GRIN for parent aquatica
Pumpkins & gourds,Africa_Southern,Vegetables,N,N,Lagenaria 
Sorghum,Africa_Southern,Cereals,Y,Y,As per Palacios
Watermelons,Africa_Southern,Fruits,N,N,GRIN
Coffee,Africa_West,Stimulants,Y,Y,"counting arabica and canephora. Native to E Africa (Arab, cane); C Af, W Af (cane)"
Cowpeas,Africa_West,Pulses,N,N,as determined from contributing species PNAS (Vigna)
Fonio,Africa_West,Cereals,N,N,
Kola_nuts,Africa_West,Oilcrops,N,N,GRIN
Melons,Africa_West,Fruits,N,N,GRIN
Millets,Africa_West,Cereals,Y,Y,As per Palacios
Palm oil,Africa_West,Oilcrops,Y,Y,As per Palacios
Rice,Africa_West,Cereals,Y,Y,As per Palacios
Sheanuts,Africa_West,Oilcrops,N,N,GRIN
Sorghum,Africa_West,Cereals,Y,Y,As per Palacios
Yams,Africa_West,Starchy roots,Y,Y,As per Palacios
Chillies & peppers,America_Caribbean,Spices,Y,N,as determined from contributing species PNAS (Capsicum)
Cottonseed oil,America_Caribbean,Oilcrops,Y,Y,CK- as per native areas G. hirstum
Vanilla,America_Caribbean,Spices,N,N,JW- The species is also native to America_Caribbean and America_South_tropical.
Yautia,America_Caribbean,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
Avocados,America_Central_and_Mexico,Fruits,N,N,Prota4U
Beans,America_Central_and_Mexico,Pulses,Y,Y,as determined from contributing species PNAS (Phaseolus)
Cassava,America_Central_and_Mexico,Starchy roots,Y,Y,"As per Palacios, but refined by CK. Luis Augusto convinced most diversity from Mesoamerica"
Chillies & peppers,America_Central_and_Mexico,Spices,Y,N,as determined from contributing species PNAS (Capsicum)
Cocoa beans,America_Central_and_Mexico,Stimulants,Y,Y,CK added as native to Central America as well as tropical S America
Cottonseed oil,America_Central_and_Mexico,Oilcrops,Y,Y,As per Palacios
Maize,America_Central_and_Mexico,Cereals,Y,Y,As per Palacios
Mangoes_mangosteens_guavas,America_Central_and_Mexico,Fruits,N,N,guava
Palm oil,America_Central_and_Mexico,Oilcrops,Y,Y,"Including oleifera, as hybrids between American and African species contributed significantly to importance of crop"
Papayas,America_Central_and_Mexico,Fruits,N,N,CK estimate based on CWR
Pumpkins & gourds,America_Central_and_Mexico,Vegetables,N,N,Cucurbita
Sweet potatoes,America_Central_and_Mexico,Starchy roots,Y,Y,As per Palacios
