"Y2009","Y2010","Y2011","Country","Element"
932934,887523,678859,"Afghanistan","Production"
37485,30407,24327,"Albania","Production"
767373,820874,876211,"Algeria","Production"
557080,605071,642992,"Angola","Production"
6776,7519,7897,"Antigua and Barbuda","Production"
717456,728990,846124,"Argentina","Production"
281240.3,220604,250922,"Armenia","Production"
125326,121931,119528,"Australia","Production"
402675.42,441519,443241,"Austria","Production"
242226,266789,261161,"Azerbaijan","Production"
23915,24162,22643,"Bahamas","Production"
3002290,3058442,3060943,"Bangladesh","Production"
8160,8297,9179,"Barbados","Production"
524172,545576,472651,"Belarus","Production"
530347.34,552052,567471,"Belgium","Production"
7191,6855,7686,"Belize","Production"
203114,192386,193168,"Benin","Production"
2800,3057,2961,"Bermuda","Production"
140930,141426.65,140045,"Bolivia (Plurinational State of)","Production"
481133,459400,461133,"Bosnia and Herzegovina","Production"
120281,145056,150078,"Botswana","Production"
3385498,3685482,3780671,"Brazil","Production"
10980,12055,11511,"Brunei Darussalam","Production"
61301,54435,73455,"Bulgaria","Production"
278973,330484,316348,"Burkina Faso","Production"
8617,9500,9740,"Cabo Verde","Production"
650866,662844,731758,"Cambodia","Production"
987448,845892,901475,"Cameroon","Production"
355100,396286,391362,"Canada","Production"
120614,111736,118194,"Central African Republic","Production"
729677,685000,421000,"Chad","Production"
166798,154926,175442,"Chile","Production"
15494,15700,15880,"China, Hong Kong SAR","Production"
0,0,0,"China, Macao SAR","Production"
158695696,163948443,170460731,"China, mainland","Production"
1540550,1659786,1757987,"China, Taiwan Province of","Production"
1547873.94,1540326,1625401,"Colombia","Production"
121044,121800,123850,"Congo","Production"
313534,304527,331265,"Costa Rica","Production"
260108,282913,287164,"Côte d'Ivoire","Production"
39151,30820,38981,"Croatia","Production"
1064258,1098789,1084366,"Cuba","Production"
9523,9805,10600,"Cyprus","Production"
80968,74352,93211,"Czech Republic","Production"
2987484,2847849,2596700,"Democratic People's Republic of Korea","Production"
80231,100673,54505,"Denmark","Production"
31584,36669,34554,"Djibouti","Production"
4819,3746,3880,"Dominica","Production"
74794,86771,100948,"Dominican Republic","Production"
315051,388886,362352,"Ecuador","Production"
1277579,1212595,1231993,"Egypt","Production"
36776,37498,42036,"El Salvador","Production"
21738,23048,33254,"Estonia","Production"
8985623,9342931,9639238,"Ethiopia","Production"
19130,20258,18871,"Fiji","Production"
78569,80333,93733,"Finland","Production"
1426672.6,1336510.2,1397362.1,"France","Production"
15904,16224,16167,"French Polynesia","Production"
55785,64202,69618,"Gabon","Production"
19270,22344,22360,"Gambia","Production"
47605,64027,66996,"Georgia","Production"
577373,432203,458917,"Germany","Production"
97517,100810,103737,"Ghana","Production"
119874,107894,114484,"Greece","Production"
7594,8314,8993,"Grenada","Production"
383219,370947,377644,"Guatemala","Production"
587054,604345,589360,"Guinea","Production"
126485,119908,118862,"Guinea-Bissau","Production"
24961,28814,28360,"Guyana","Production"
219859,233824,240470,"Haiti","Production"
139569,143790,155076,"Honduras","Production"
128340,110660,123464.9,"Hungary","Production"
34,35,34,"Iceland","Production"
41709520,46396006,42614478,"India","Production"
5325086,4610104,5726565,"Indonesia","Production"
4302608,5220006,6171469,"Iran (Islamic Republic of)","Production"
306766,310234,337738,"Iraq","Production"
46075,39106,40392,"Ireland","Production"
246169.37,211521.88,246513,"Israel","Production"
2472030,2376487,2471621,"Italy","Production"
72125,73391,85120,"Jamaica","Production"
3093800,2912744,2941172,"Japan","Production"
106522,127894,136033,"Jordan","Production"
315570,373627,588029,"Kazakhstan","Production"
907189,1066340,904167,"Kenya","Production"
17124,17870,15841,"Kiribati","Production"
47753.66,49473.94,48610,"Kuwait","Production"
115765,118311,112885,"Kyrgyzstan","Production"
804266,857175,877025,"Lao People's Democratic Republic","Production"
52927,39245,46798,"Latvia","Production"
72584,77788,90093,"Lebanon","Production"
43356,45827,46179,"Lesotho","Production"
72168,91840,94150,"Liberia","Production"
83833,83700,104077,"Libya","Production"
147176,103120,147440,"Lithuania","Production"
1440,1363,1605,"Luxembourg","Production"
