"Y2009","Y2010","Y2011","Country","Element"
9357491.8,8587687,7017328,"Afghanistan","Production"
7022301,7535350,7397034,"Albania","Production"
16367696,16421910.3,17720603.5,"Algeria","Production"
19819807,21177335,22702278,"Angola","Production"
12912,13118,13880,"Antigua and Barbuda","Production"
172891843.2,215353477.1,217271812,"Argentina","Production"
2495848.1,2036531,2452939.7,"Armenia","Production"
81709974,82257937,84908377,"Australia","Production"
15537898.42,15418418.49,17503129.98,"Austria","Production"
6615975,5761062,6351946.8,"Azerbaijan","Production"
116336,136277,137738,"Bahamas","Production"
68826618,73409055,74926159,"Bangladesh","Production"
377054,279296,278995,"Barbados","Production"
42209321,40010125,47785670,"Belarus","Production"
23326094.34,22201403,23296314.57,"Belgium","Production"
1389891,1569017,1315799,"Belize","Production"
9594372.28,9556900.52,10228064,"Benin","Production"
5029,5240,5161,"Bermuda","Production"
15610107,13748602.93,14192096.34,"Bolivia (Plurinational State of)","Production"
4582934,3697724,3736001,"Bosnia and Herzegovina","Production"
179217,201707,238598,"Botswana","Production"
913305746,957565656,989841946,"Brazil","Production"
22542,23655,23548,"Brunei Darussalam","Production"
10423733,12562727,12138873,"Bulgaria","Production"
6316598,7697869,6415397,"Burkina Faso","Production"
99780,99839,101046,"Cabo Verde","Production"
13704801,15024332,19408316,"Cambodia","Production"
20112577,22265177,23488292,"Cameroon","Production"
91526856,85579098,86916852,"Canada","Production"
2213363,2218571,2309688,"Central African Republic","Production"
4137673,4222900,3679389,"Chad","Production"
15969595.21,17551626.2,19280257,"Chile","Production"
41198,41611,42125,"China, Hong Kong SAR","Production"
262,210,192,"China, Macao SAR","Production"
1482020587,1527835325,1594461843,"China, mainland","Production"
7886340,8070965,8536750,"China, Taiwan Province of","Production"
60535498.27,56152297.02,59903294.51,"Colombia","Production"
2520349,2513533,2531149,"Congo","Production"
10867270.4,11270059,11601919,"Costa Rica","Production"
17934746,18923166,19405443,"Côte d'Ivoire","Production"
8459003,7730157,7262181,"Croatia","Production"
21929622,18020945,22595611.6,"Cuba","Production"
464509,459789,489738,"Cyprus","Production"
24803986,22726575,26253794,"Czech Republic","Production"
12684180,12796046,12605700,"Democratic People's Republic of Korea","Production"
36933493,33976859,36831906,"Denmark","Production"
37700,42940,41180,"Djibouti","Production"
113773,109255,107121,"Dominica","Production"
9184016.6,9759800.78,10141496.25,"Dominican Republic","Production"
23643307,25001747,23174911,"Ecuador","Production"
133966141,130965702,133966447,"Egypt","Production"
7652151,6950130.57,7594850,"El Salvador","Production"
2000505,1834001,1871479,"Estonia","Production"
29455983,32159278,33880936,"Ethiopia","Production"
2501096,2133441,2518683,"Fiji","Production"
6004360,4650487,5442743,"Finland","Production"
196433131.67,183266521.23,196658089.4,"France","Production"
111324,117062,118944,"French Polynesia","Production"
1210597,1241849,1258315,"Gabon","Production"
507762,577147,347554,"Gambia","Production"
1254236,980455,1334914,"Georgia","Production"
182858239,170427102,199911459,"Germany","Production"
31503980,32975674.38,33911404,"Ghana","Production"
18475359,16053310,16507611,"Greece","Production"
35067,36516,37711,"Grenada","Production"
31016259,31871384,30690458,"Guatemala","Production"
7424076,7637977,7870457,"Guinea","Production"
734159,814521,790564,"Guinea-Bissau","Production"
3504315,3530546,3997549,"Guyana","Production"
4303483,4457783,4217456,"Haiti","Production"
11900923,11824504,11340612,"Honduras","Production"
24986838,25664414,27834342.9,"Hungary","Production"
13984,16915,11937,"Iceland","Production"
817498044,875673242,960651626,"India","Production"
299855283.57,311602971.9,319011981.15,"Indonesia","Production"
85754830,93681040,95732225,"Iran (Islamic Republic of)","Production"
8844588,10555595,11387085,"Iraq","Production"
2683469,2708844,3150731,"Ireland","Production"
4046648.91,3907575.61,4026447,"Israel","Production"
96368216,95798207,96174029.7,"Italy","Production"
2388043,2424896.52,2628485.01,"Jamaica","Production"
