"Region","Element","Item","Average"
"Africa_Central","Fat supply quantity (g/capita/day)","Apples",0
"Africa_Central","Fat supply quantity (g/capita/day)","Bananas & plantains",0.22092882345431
"Africa_Central","Fat supply quantity (g/capita/day)","Barley",0.00106003559919101
"Africa_Central","Fat supply quantity (g/capita/day)","Beans",0.173170163028176
"Africa_Central","Fat supply quantity (g/capita/day)","Beverages, alcoholic",0
"Africa_Central","Fat supply quantity (g/capita/day)","Beverages, fermented",0
"Africa_Central","Fat supply quantity (g/capita/day)","Cassava",0.308187357936969
"Africa_Central","Fat supply quantity (g/capita/day)","Cereals, other",0
"Africa_Central","Fat supply quantity (g/capita/day)","Citrus, other",0.0388123895793683
"Africa_Central","Fat supply quantity (g/capita/day)","Cloves",0
"Africa_Central","Fat supply quantity (g/capita/day)","Cocoa beans",0.322375220530101
"Africa_Central","Fat supply quantity (g/capita/day)","Coconuts",0.217970316228272
"Africa_Central","Fat supply quantity (g/capita/day)","Coffee",0
"Africa_Central","Fat supply quantity (g/capita/day)","Cottonseed oil",0.791798322759262
"Africa_Central","Fat supply quantity (g/capita/day)","Dates",0
"Africa_Central","Fat supply quantity (g/capita/day)","Fruits, other",0.29796352280941
"Africa_Central","Fat supply quantity (g/capita/day)","Grapefruit",0
"Africa_Central","Fat supply quantity (g/capita/day)","Grapes",0
"Africa_Central","Fat supply quantity (g/capita/day)","Groundnut",10.3646207070345
"Africa_Central","Fat supply quantity (g/capita/day)","Lemons & limes",0
"Africa_Central","Fat supply quantity (g/capita/day)","Maize",3.21904579162726
"Africa_Central","Fat supply quantity (g/capita/day)","Millets",0.150482520046435
"Africa_Central","Fat supply quantity (g/capita/day)","Miscellaneous",0.0145744969466967
"Africa_Central","Fat supply quantity (g/capita/day)","Oats",0
"Africa_Central","Fat supply quantity (g/capita/day)","Oilcrops, other",2.7258091977544
"Africa_Central","Fat supply quantity (g/capita/day)","Olives",0.0563807519275198
"Africa_Central","Fat supply quantity (g/capita/day)","Onions",0
"Africa_Central","Fat supply quantity (g/capita/day)","Oranges & mandarines",0.0028788149195475
"Africa_Central","Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162
"Africa_Central","Fat supply quantity (g/capita/day)","Peas",0.00816002435098851
"Africa_Central","Fat supply quantity (g/capita/day)","Pepper",0
"Africa_Central","Fat supply quantity (g/capita/day)","Pimento",0.122845024382653
"Africa_Central","Fat supply quantity (g/capita/day)","Pineapples",0.0103646059737685
"Africa_Central","Fat supply quantity (g/capita/day)","Potatoes",0.0103646059737685
"Africa_Central","Fat supply quantity (g/capita/day)","Pulses, other",0.26729307152766
"Africa_Central","Fat supply quantity (g/capita/day)","Rape & mustard",0.0121471786116127
"Africa_Central","Fat supply quantity (g/capita/day)","Rice",0.142238460412539
"Africa_Central","Fat supply quantity (g/capita/day)","Roots, other",0.0629543364192834
"Africa_Central","Fat supply quantity (g/capita/day)","Rye",0
"Africa_Central","Fat supply quantity (g/capita/day)","Sesame",1.15268672278656
"Africa_Central","Fat supply quantity (g/capita/day)","Sorghum",0.983604517916642
"Africa_Central","Fat supply quantity (g/capita/day)","Soybean",4.11010981940229
"Africa_Central","Fat supply quantity (g/capita/day)","Spices, other",0.0548333519456825
"Africa_Central","Fat supply quantity (g/capita/day)","Sugar",0.0409483414608842
"Africa_Central","Fat supply quantity (g/capita/day)","Sunflower",0.0973595992228179
"Africa_Central","Fat supply quantity (g/capita/day)","Sweet potatoes",0.157385510198989
"Africa_Central","Fat supply quantity (g/capita/day)","Sweeteners, other",0
"Africa_Central","Fat supply quantity (g/capita/day)","Tea",0
"Africa_Central","Fat supply quantity (g/capita/day)","Tomatoes",0.0852217009534549
"Africa_Central","Fat supply quantity (g/capita/day)","Treenuts",0.0410661231929499
"Africa_Central","Fat supply quantity (g/capita/day)","Vegetables, other",0.270745355480754
"Africa_Central","Fat supply quantity (g/capita/day)","Wheat",0.846179482864016
"Africa_Central","Fat supply quantity (g/capita/day)","Yams",0.0968417291417361
"Africa_Central","Food supply (kcal/capita/day)","Apples",0.144718098340518
"Africa_Central","Food supply (kcal/capita/day)","Bananas & plantains",128.483103598174
"Africa_Central","Food supply (kcal/capita/day)","Barley",43.9820129231261
"Africa_Central","Food supply (kcal/capita/day)","Beans",77.8484321281785
"Africa_Central","Food supply (kcal/capita/day)","Beverages, alcoholic",2.77283605897945
"Africa_Central","Food supply (kcal/capita/day)","Beverages, fermented",26.4862621077937
"Africa_Central","Food supply (kcal/capita/day)","Cassava",428.620857488377
"Africa_Central","Food supply (kcal/capita/day)","Cereals, other",0.0922535351134195
"Africa_Central","Food supply (kcal/capita/day)","Citrus, other",3.64308605771544
"Africa_Central","Food supply (kcal/capita/day)","Cloves",0
"Africa_Central","Food supply (kcal/capita/day)","Cocoa beans",3.41122146700379
"Africa_Central","Food supply (kcal/capita/day)","Coconuts",2.20090387543091
"Africa_Central","Food supply (kcal/capita/day)","Coffee",1.55856112161836
"Africa_Central","Food supply (kcal/capita/day)","Cottonseed oil",7.32750600348814
"Africa_Central","Food supply (kcal/capita/day)","Dates",0
"Africa_Central","Food supply (kcal/capita/day)","Fruits, other",8.7765080600424
"Africa_Central","Food supply (kcal/capita/day)","Grapefruit",0.0272000811427616
"Africa_Central","Food supply (kcal/capita/day)","Grapes",4.42850494411116
"Africa_Central","Food supply (kcal/capita/day)","Groundnut",94.2851751418448
"Africa_Central","Food supply (kcal/capita/day)","Lemons & limes",0.0816002435098851
"Africa_Central","Food supply (kcal/capita/day)","Maize",297.535525308993
"Africa_Central","Food supply (kcal/capita/day)","Millets",22.3626398116462
"Africa_Central","Food supply (kcal/capita/day)","Miscellaneous",2.4198784218762
"Africa_Central","Food supply (kcal/capita/day)","Oats",0.0308945456402172
"Africa_Central","Food supply (kcal/capita/day)","Oilcrops, other",27.6279442679648
"Africa_Central","Food supply (kcal/capita/day)","Olives",1.31123933292188
"Africa_Central","Food supply (kcal/capita/day)","Onions",2.30919028364798
"Africa_Central","Food supply (kcal/capita/day)","Oranges & mandarines",0.544835359187927
"Africa_Central","Food supply (kcal/capita/day)","Palm oil",108.107662221588
"Africa_Central","Food supply (kcal/capita/day)","Peas",1.71433739006394
"Africa_Central","Food supply (kcal/capita/day)","Pepper",0
"Africa_Central","Food supply (kcal/capita/day)","Pimento",3.82184520287937
"Africa_Central","Food supply (kcal/capita/day)","Pineapples",4.3865800679889
"Africa_Central","Food supply (kcal/capita/day)","Potatoes",25.9480017894562
"Africa_Central","Food supply (kcal/capita/day)","Pulses, other",36.8429069592355
"Africa_Central","Food supply (kcal/capita/day)","Rape & mustard",0.12147178637522
"Africa_Central","Food supply (kcal/capita/day)","Rice",127.298148388286
"Africa_Central","Food supply (kcal/capita/day)","Roots, other",33.8520868773739
"Africa_Central","Food supply (kcal/capita/day)","Rye",0
"Africa_Central","Food supply (kcal/capita/day)","Sesame",12.7125838977203
"Africa_Central","Food supply (kcal/capita/day)","Sorghum",103.073732688275
"Africa_Central","Food supply (kcal/capita/day)","Soybean",13.9137123069504
"Africa_Central","Food supply (kcal/capita/day)","Spices, other",3.02259909419211
"Africa_Central","Food supply (kcal/capita/day)","Sugar",110.593988279071
"Africa_Central","Food supply (kcal/capita/day)","Sunflower",2.26938711570396
"Africa_Central","Food supply (kcal/capita/day)","Sweet potatoes",59.9371962961334
"Africa_Central","Food supply (kcal/capita/day)","Sweeteners, other",0.637785879819434
"Africa_Central","Food supply (kcal/capita/day)","Tea",0.00353345199730337
"Africa_Central","Food supply (kcal/capita/day)","Tomatoes",9.03344648462242
"Africa_Central","Food supply (kcal/capita/day)","Treenuts",7.81591138144394
"Africa_Central","Food supply (kcal/capita/day)","Vegetables, other",32.8246243226433
"Africa_Central","Food supply (kcal/capita/day)","Wheat",202.199207714633
"Africa_Central","Food supply (kcal/capita/day)","Yams",42.4433930792411
"Africa_Central","Food supply quantity (g/capita/day)","Apples",0.816447694614493
"Africa_Central","Food supply quantity (g/capita/day)","Bananas & plantains",141.823243630684
"Africa_Central","Food supply quantity (g/capita/day)","Barley",98.1101082590536
"Africa_Central","Food supply quantity (g/capita/day)","Beans",16.2384427629317
"Africa_Central","Food supply quantity (g/capita/day)","Beverages, alcoholic",2.54549043745625
"Africa_Central","Food supply quantity (g/capita/day)","Beverages, fermented",63.9590101775343
"Africa_Central","Food supply quantity (g/capita/day)","Cassava",260.526449354434
"Africa_Central","Food supply quantity (g/capita/day)","Cereals, other",0.0323216014518717
"Africa_Central","Food supply quantity (g/capita/day)","Citrus, other",3.30936562938242
"Africa_Central","Food supply quantity (g/capita/day)","Cloves",0
"Africa_Central","Food supply quantity (g/capita/day)","Cocoa beans",0.86994161640273
"Africa_Central","Food supply quantity (g/capita/day)","Coconuts",1.51808240334126
"Africa_Central","Food supply quantity (g/capita/day)","Coffee",3.2586345697369
"Africa_Central","Food supply quantity (g/capita/day)","Cottonseed oil",0.846166910360446
"Africa_Central","Food supply quantity (g/capita/day)","Dates",0
"Africa_Central","Food supply quantity (g/capita/day)","Fruits, other",16.3503816013214
"Africa_Central","Food supply quantity (g/capita/day)","Grapefruit",0.503894075879863
"Africa_Central","Food supply quantity (g/capita/day)","Grapes",6.69210222866303
"Africa_Central","Food supply quantity (g/capita/day)","Groundnut",14.4918120378459
"Africa_Central","Food supply quantity (g/capita/day)","Lemons & limes",0.331165178979725
"Africa_Central","Food supply quantity (g/capita/day)","Maize",68.191725415903
"Africa_Central","Food supply quantity (g/capita/day)","Millets",7.22187299435792
"Africa_Central","Food supply quantity (g/capita/day)","Miscellaneous",0
"Africa_Central","Food supply quantity (g/capita/day)","Oats",0.0308945456402172
"Africa_Central","Food supply quantity (g/capita/day)","Oilcrops, other",5.41645547595917
"Africa_Central","Food supply quantity (g/capita/day)","Olives",0.00117781733125664
"Africa_Central","Food supply quantity (g/capita/day)","Onions",5.92497479890834
"Africa_Central","Food supply quantity (g/capita/day)","Oranges & mandarines",2.08746286261746
"Africa_Central","Food supply quantity (g/capita/day)","Palm oil",9.49463939899038
"Africa_Central","Food supply quantity (g/capita/day)","Peas",0.442731389275435
"Africa_Central","Food supply quantity (g/capita/day)","Pepper",0
"Africa_Central","Food supply quantity (g/capita/day)","Pimento",1.22845024382653
"Africa_Central","Food supply quantity (g/capita/day)","Pineapples",12.3290537819724
"Africa_Central","Food supply quantity (g/capita/day)","Potatoes",36.7194964082772
"Africa_Central","Food supply quantity (g/capita/day)","Pulses, other",10.6920912003673
"Africa_Central","Food supply quantity (g/capita/day)","Rape & mustard",0
"Africa_Central","Food supply quantity (g/capita/day)","Rice",34.7246055001178
"Africa_Central","Food supply quantity (g/capita/day)","Roots, other",39.5541035040527
"Africa_Central","Food supply quantity (g/capita/day)","Rye",0
"Africa_Central","Food supply quantity (g/capita/day)","Sesame",1.67616199216441
"Africa_Central","Food supply quantity (g/capita/day)","Sorghum",33.344873297448
"Africa_Central","Food supply quantity (g/capita/day)","Soybean",2.13926279640776
"Africa_Central","Food supply quantity (g/capita/day)","Spices, other",0.822500281214988
"Africa_Central","Food supply quantity (g/capita/day)","Sugar",44.2661079064592
"Africa_Central","Food supply quantity (g/capita/day)","Sunflower",0.409898076895382
"Africa_Central","Food supply quantity (g/capita/day)","Sweet potatoes",26.6702420099357
"Africa_Central","Food supply quantity (g/capita/day)","Sweeteners, other",0.0946069640766688
"Africa_Central","Food supply quantity (g/capita/day)","Tea",0.418905953269496
"Africa_Central","Food supply quantity (g/capita/day)","Tomatoes",41.0618325355688
"Africa_Central","Food supply quantity (g/capita/day)","Treenuts",2.183911544444
"Africa_Central","Food supply quantity (g/capita/day)","Vegetables, other",103.949593955835
"Africa_Central","Food supply quantity (g/capita/day)","Wheat",75.2560032335554
"Africa_Central","Food supply quantity (g/capita/day)","Yams",42.4150151807777
"Africa_Central","Protein supply quantity (g/capita/day)","Apples",0
"Africa_Central","Protein supply quantity (g/capita/day)","Bananas & plantains",1.64173156778344
"Africa_Central","Protein supply quantity (g/capita/day)","Barley",0.381341221434391
"Africa_Central","Protein supply quantity (g/capita/day)","Beans",5.14003012923204
"Africa_Central","Protein supply quantity (g/capita/day)","Beverages, alcoholic",0
"Africa_Central","Protein supply quantity (g/capita/day)","Beverages, fermented",0.191430861507319
"Africa_Central","Protein supply quantity (g/capita/day)","Cassava",3.34230746327115
"Africa_Central","Protein supply quantity (g/capita/day)","Cereals, other",0.0028788149195475
"Africa_Central","Protein supply quantity (g/capita/day)","Citrus, other",0.0103646059737685
"Africa_Central","Protein supply quantity (g/capita/day)","Cloves",0
"Africa_Central","Protein supply quantity (g/capita/day)","Cocoa beans",0.0638621197552098
"Africa_Central","Protein supply quantity (g/capita/day)","Coconuts",0.0117781733231668
"Africa_Central","Protein supply quantity (g/capita/day)","Coffee",0.124505760607629
"Africa_Central","Protein supply quantity (g/capita/day)","Cottonseed oil",0
"Africa_Central","Protein supply quantity (g/capita/day)","Dates",0
